2)regulatorName,3)RegulatorGeneName,5)regulatedName,6)function,7)confidenceLevel 
ppGpp,,metV,-,W 
ppGpp,,metZ,-,W 
ppGpp,,proM,-,W 
ppGpp,,rrfA,-,W 
ppGpp,,rrfB,-,W 
ppGpp,,rrfC,-,W 
ppGpp,,rrfD,-,W 
ppGpp,,rrfE,-,W 
ppGpp,,rrfG,-,W 
ppGpp,,rrfH,-,W 
ppGpp,,rrlA,-,W 
ppGpp,,rrlB,-,W 
ppGpp,,rrlC,-,W 
ppGpp,,rrlD,-,W 
ppGpp,,rrlE,-,W 
ppGpp,,rrlG,-,W 
ppGpp,,rrlH,-,W 
ppGpp,,rrsA,-,W 
ppGpp,,rrsB,-,W 
ppGpp,,rrsC,-,W 
ppGpp,,rrsD,-,W 
ppGpp,,rrsE,-,W 
ppGpp,,rrsG,-,W 
ppGpp,,rrsH,-,W 
ppGpp,,rrfF,-,W 
ppGpp,,serW,-,W 
ppGpp,,thrT,-,W 
ppGpp,,thrU,-,W 
ppGpp,,thrV,-,W 
ppGpp,,tyrT,-,W 
ppGpp,,tyrU,-,W 
ppGpp,,tyrV,-,W 
ppGpp,,metW,-,W 
ppGpp,,rmf,+,W 
ppGpp,,gadA,+,W 
ppGpp,,sgrT,+,W 
ppGpp,,ilvX,+,W 
ppGpp,,gadF,+,W 
ppGpp,,idlP,+,W 
ppGpp,,ytiC,+,W 
ppGpp,,ytiD,+,W 
ppGpp,,csrB,+,W 
ppGpp,,csrC,+,W 
ppGpp,,tff,-,W 
ppGpp,,isrC,+,W 
ppGpp,,sroA,+,W 
ppGpp,,sroD,+,W 
ppGpp,,ecnB,+,W 
ppGpp,,sgrS,+,W 
ppGpp,,yahO,+,? 
ppGpp,,yajO,+,W 
ppGpp,,glsA,+,W 
ppGpp,,ybaT,+,W 
ppGpp,,ybdK,+,W 
ppGpp,,ybgS,+,W 
ppGpp,,ybhN,+,W 
ppGpp,,clsB,+,W 
ppGpp,,ybhP,+,W 
ppGpp,,ybjP,+,W 
ppGpp,,ftsK,+,W 
ppGpp,,ycaP,+,W 
ppGpp,,csgI,+,W 
ppGpp,,yccU,+,W 
ppGpp,,csgG,+,W 
ppGpp,,csgF,+,W 
ppGpp,,csgE,+,W 
ppGpp,,csgD,+,W 
ppGpp,,ariR,+,W 
ppGpp,,ydcK,+,W 
ppGpp,,ydcL,+,W 
ppGpp,,curA,+,W 
ppGpp,,adhP,+,W 
ppGpp,,gadC,+,W 
ppGpp,,tam,+,W 
ppGpp,,ynfD,+,W 
ppGpp,,sodC,+,W 
ppGpp,,ldtE,+,W 
ppGpp,,sufE,+,W 
ppGpp,,sufS,+,W 
ppGpp,,sufD,+,W 
ppGpp,,sufC,+,W 
ppGpp,,sufB,+,W 
ppGpp,,yniA,+,W 
ppGpp,,yeaG,+,W 
ppGpp,,yeaH,+,W 
ppGpp,,yeaQ,+,W 
ppGpp,,yoaC,+,W 
ppGpp,,yebV,+,W 
ppGpp,,uspC,+,W 
ppGpp,,yedP,+,W 
ppGpp,,hchA,+,W 
ppGpp,,flu,+,W 
ppGpp,,yegP,+,W 
ppGpp,,fbaB,+,W 
ppGpp,,elaB,+,W 
ppGpp,,yfcZ,+,W 
ppGpp,,rseC,+,W 
ppGpp,,rseB,+,W 
ppGpp,,glaH,+,W 
ppGpp,,kbp,+,W 
ppGpp,,yqaE,+,W 
ppGpp,,dkgA,+,W 
ppGpp,,patA,+,W 
ppGpp,,yqjF,+,W 
ppGpp,,yhbO,+,W 
ppGpp,,yhcO,+,W 
