1)sigmaName,2)regulatedName,3)function,5)confidenceLevel 
sigma70,narG,+,S 
sigma70,narH,+,S 
sigma70,narI,+,S 
sigma70,narJ,+,S 
sigma70,narK,+,S 
sigma70,narL,+,W 
sigma70,narS,+,S 
sigma70,narU,+,W 
sigma70,narX,+,W 
sigma70,ndh,+,S 
sigma70,nei,+,S 
sigma70,nemA,+,S 
sigma70,nemR,+,S 
sigma70,nfeF,+,W 
sigma70,nfo,+,S 
sigma70,nfsA,+,S 
sigma70,nfsB,+,W 
sigma70,nfuA,+,W 
sigma70,nhaA,+,S 
sigma70,nhaR,+,S 
sigma70,nirB,+,S 
sigma70,nirC,+,S 
sigma70,nirD,+,S 
sigma70,nlpD,+,S 
sigma70,nnr,+,C 
sigma70,nohA,+,W 
sigma70,npr,+,W 
sigma70,nrdA,+,S 
sigma70,nrdB,+,S 
sigma70,nrdD,+,S 
sigma70,nrdE,+,S 
sigma70,nrdF,+,S 
sigma70,nrdG,+,S 
sigma70,nrdH,+,S 
sigma70,nrdI,+,S 
sigma70,nrdR,+,W 
sigma70,nrfA,+,S 
sigma70,nrfB,+,S 
sigma70,nrfC,+,S 
sigma70,nrfD,+,S 
sigma70,nrfE,+,S 
sigma70,nrfF,+,S 
sigma70,nrfG,+,S 
sigma70,nudB,+,W 
sigma70,nuoA,+,S 
sigma70,nuoB,+,S 
sigma70,nuoC,+,S 
sigma70,nuoE,+,S 
sigma70,nuoF,+,S 
sigma70,nuoG,+,S 
sigma70,nuoH,+,S 
sigma70,nuoI,+,S 
sigma70,nuoJ,+,S 
sigma70,nuoK,+,S 
sigma70,nuoL,+,S 
sigma70,nuoM,+,S 
sigma70,nuoN,+,S 
sigma70,nupC,+,S 
sigma70,nupG,+,S 
sigma70,nusA,+,S 
sigma70,nusB,+,W 
sigma70,obgE,+,S 
sigma70,ohsC,+,S 
sigma70,ompA,+,S 
sigma70,ompC,+,C 
sigma70,ompF,+,S 
sigma70,ompN,+,W 
sigma70,ompR,+,S 
sigma70,ompX,+,S 
sigma70,opgG,+,S 
sigma70,opgH,+,S 
sigma70,osmB,+,S 
sigma70,osmC,+,S 
sigma70,osmE,+,S 
sigma70,osmY,+,S 
sigma70,oxc,+,S 
sigma70,oxyR,+,S 
sigma70,oxyS,+,W 
sigma70,paaA,+,S 
sigma70,paaB,+,S 
sigma70,paaC,+,S 
sigma70,paaD,+,S 
sigma70,paaE,+,S 
sigma70,paaF,+,S 
sigma70,paaG,+,S 
sigma70,paaH,+,S 
sigma70,paaI,+,S 
sigma70,paaJ,+,S 
sigma70,paaK,+,S 
sigma70,paaX,+,S 
sigma70,paaY,+,S 
sigma70,pabA,+,S 
sigma70,panB,+,W 
sigma70,panC,+,W 
sigma70,panD,+,S 
sigma70,panF,+,S 
sigma70,patZ,+,W 
sigma70,pck,+,W 
sigma70,pcm,+,S 
sigma70,pcnB,+,S 
sigma70,pdeL,+,W 
sigma70,pdhR,+,C 
sigma70,pdxJ,+,S 
sigma70,pepA,+,S 
sigma70,pepD,+,S 
sigma70,pepP,+,S 
sigma70,pfkA,+,S 
sigma70,pflA,+,S 
sigma70,pflB,+,S 
sigma70,pgi,+,C 
sigma70,pgk,+,S 
sigma70,pgpA,+,W 
sigma70,pgpB,+,S 
sigma70,pheA,+,S 
sigma70,pheL,+,S 
sigma70,pheP,+,S 
sigma70,pheU,+,W 
sigma70,pheV,+,W 
sigma70,phnC,+,S 
sigma70,phnD,+,S 
sigma70,phnE,+,S 
sigma70,phnF,+,S 
sigma70,phnG,+,S 
sigma70,phnH,+,S 
sigma70,phnI,+,S 
sigma70,phnJ,+,S 
sigma70,phnK,+,S 
sigma70,phnL,+,S 
sigma70,phnM,+,S 
sigma70,phnN,+,S 
sigma70,phnO,+,S 
sigma70,phnP,+,S 
sigma70,phoA,+,W 
sigma70,phoB,+,W 
sigma70,phoE,+,S 
sigma70,phoH,+,S 
sigma70,phoR,+,W 
sigma70,phoU,+,S 
sigma70,pitB,+,W 
sigma70,plaR,+,S 
sigma70,pldA,+,W 
sigma70,plsX,+,S 
sigma70,pncB,+,S 
sigma70,pnp,+,S 
sigma70,pntA,+,W 
sigma70,pntB,+,W 
sigma70,polB,+,W 
sigma70,poxB,+,C 
sigma70,ppdD,+,W 
sigma70,ppiA,+,S 
sigma70,ppiD,+,S 
sigma70,ppsA,+,S 
sigma70,pqiA,+,S 
sigma70,pqiB,+,S 
sigma70,pqiC,+,S 
sigma70,preA,+,W 
sigma70,preT,+,W 
sigma70,prfA,+,S 
sigma70,prfC,+,S 
sigma70,priB,+,W 
sigma70,prlF,+,W 
sigma70,prmA,+,S 
sigma70,prmC,+,S 
sigma70,proK,+,W 
sigma70,proL,+,W 
sigma70,proM,+,C 
sigma70,proP,+,S 
sigma70,proS,+,S 
sigma70,proV,+,S 
sigma70,proW,+,S 
sigma70,proX,+,S 
sigma70,prpR,+,W 
sigma70,prs,+,S 
sigma70,psiE,+,S 
sigma70,psiF,+,W 
sigma70,pspF,+,S 
sigma70,pssA,+,S 
sigma70,pssL,+,S 
sigma70,pstA,+,S 
sigma70,pstB,+,W 
sigma70,pstC,+,S 
sigma70,pstS,+,S 
sigma70,pta,+,S 
sigma70,pth,+,S 
sigma70,ptrA,+,S 
sigma70,ptsG,+,S 
sigma70,ptsH,+,S 
sigma70,ptsI,+,S 
sigma70,ptsN,+,W 
sigma70,purA,+,S 
sigma70,purB,+,S 
sigma70,purC,+,S 
sigma70,purD,+,S 
sigma70,purE,+,S 
sigma70,purF,+,C 
sigma70,purH,+,S 
sigma70,purK,+,S 
sigma70,purL,+,S 
sigma70,purM,+,S 
sigma70,purN,+,S 
sigma70,purR,+,S 
sigma70,purT,+,W 
sigma70,purU,+,S 
sigma70,putA,+,S 
sigma70,putP,+,S 
sigma70,pykA,+,W 
sigma70,pykF,+,W 
sigma70,pyrC,+,S 
sigma70,pyrD,+,S 
sigma70,pyrF,+,S 
sigma70,pyrH,+,S 
sigma70,qseB,+,S 
sigma70,qseC,+,S 
sigma70,rapA,+,S 
sigma70,rapZ,+,W 
sigma70,rarA,+,S 
sigma70,rbfA,+,S 
sigma70,rbn,+,S 
sigma70,rbsA,+,S 
sigma70,rbsB,+,S 
sigma70,rbsC,+,S 
sigma70,rbsD,+,S 
sigma70,rbsK,+,S 
sigma70,rbsR,+,S 
sigma70,rbsZ,+,S 
sigma70,rcnA,+,S 
sigma70,rcnB,+,S 
sigma70,rcnR,+,S 
sigma70,rcsA,+,S 
sigma70,rcsB,+,S 
sigma70,rcsD,+,S 
sigma70,rdlD,+,S 
sigma70,recA,+,S 
sigma70,recB,+,S 
sigma70,recC,+,S 
sigma70,recD,+,S 
sigma70,recF,+,S 
sigma70,recG,+,W 
sigma70,recJ,+,W 
sigma70,recN,+,W 
sigma70,recO,+,S 
sigma70,recQ,+,W 
sigma70,recX,+,S 
sigma70,relA,+,C 
sigma70,relB,+,S 
sigma70,relE,+,S 
sigma70,rep,+,S 
sigma70,rfaD,+,S 
sigma70,rfe,+,W 
sigma70,rffC,+,W 
sigma70,rffG,+,W 
sigma70,rffH,+,W 
sigma70,rffM,+,W 
sigma70,rhaA,+,S 
sigma70,rhaB,+,S 
sigma70,rhaD,+,S 
sigma70,rhaR,+,S 
sigma70,rhaS,+,S 
sigma70,rhaT,+,S 
sigma70,ribA,+,S 
sigma70,ribD,+,W 
sigma70,ribE,+,W 
sigma70,ribF,+,C 
sigma70,rihB,+,S 
sigma70,rimK,+,W 
sigma70,rimM,+,S 
sigma70,rimP,+,S 
sigma70,rirA,+,C 
sigma70,rlmE,+,S 
sigma70,rluA,+,S 
sigma70,rnb,+,S 
sigma70,rnc,+,S 
sigma70,rnd,+,S 
sigma70,rne,+,S 
sigma70,rnlA,+,S 
sigma70,rnlB,+,S 
sigma70,rnpB,+,W 
sigma70,rnt,+,S 
sigma70,rpe,+,S 
sigma70,rpiB,+,S 
sigma70,rplB,+,S 
sigma70,rplC,+,S 
sigma70,rplD,+,S 
sigma70,rplI,+,W 
sigma70,rplP,+,S 
sigma70,rplQ,+,C 
sigma70,rplS,+,S 
sigma70,rplT,+,S 
sigma70,rplU,+,S 
sigma70,rplV,+,S 
sigma70,rplW,+,S 
sigma70,rplY,+,W 
sigma70,rpmA,+,S 
sigma70,rpmC,+,S 
sigma70,rpmI,+,S 
sigma70,rpoA,+,C 
sigma70,rpoD,+,S 
sigma70,rpoE,+,S 
sigma70,rpoH,+,S 
sigma70,rpoN,+,W 
sigma70,rpoS,+,S 
sigma70,rpoZ,+,W 
sigma70,rpsA,+,S 
sigma70,rpsB,+,C 
sigma70,rpsC,+,S 
sigma70,rpsD,+,C 
sigma70,rpsF,+,W 
sigma70,rpsJ,+,S 
sigma70,rpsK,+,C 
sigma70,rpsM,+,C 
sigma70,rpsO,+,S 
sigma70,rpsP,+,S 
sigma70,rpsQ,+,S 
sigma70,rpsR,+,W 
sigma70,rpsS,+,S 
sigma70,rpsU,+,C 
sigma70,rraA,+,S 
sigma70,rraB,+,S 
sigma70,rrfA,+,W 
sigma70,rrfB,+,S 
sigma70,rrfC,+,W 
sigma70,rrfD,+,S 
sigma70,rrfE,+,W 
sigma70,rrfF,+,S 
sigma70,rrfG,+,W 
sigma70,rrfH,+,S 
sigma70,rrlA,+,W 
sigma70,rrlB,+,S 
sigma70,rrlC,+,W 
sigma70,rrlD,+,S 
sigma70,rrlE,+,W 
sigma70,rrlG,+,W 
sigma70,rrlH,+,S 
sigma70,rrsA,+,W 
sigma70,rrsB,+,S 
sigma70,rrsC,+,W 
sigma70,rrsD,+,S 
sigma70,rrsE,+,W 
sigma70,rrsG,+,W 
sigma70,rrsH,+,S 
sigma70,rsd,+,S 
sigma70,rseA,+,S 
sigma70,rseB,+,S 
sigma70,rseC,+,S 
sigma70,rseD,+,S 
sigma70,rsmG,+,S 
sigma70,rsmH,+,S 
sigma70,rutR,+,S 
sigma70,ruvC,+,W 
sigma70,rybA,+,S 
sigma70,rydC,+,S 
sigma70,ryeA,+,S 
sigma70,ryfD,+,S 
sigma70,ryhB,+,S 
sigma70,ryjB,+,S 
sigma70,safA,+,S 
sigma70,sbcC,+,W 
sigma70,sbcD,+,W 
sigma70,sdhA,+,S 
sigma70,sdhB,+,S 
sigma70,sdhC,+,S 
sigma70,sdhD,+,S 
sigma70,sdhX,+,S 
sigma70,sdiA,+,S 
sigma70,secB,+,S 
sigma70,secG,+,S 
sigma70,serA,+,S 
sigma70,serC,+,S 
sigma70,serT,+,S 
sigma70,serU,+,W 
sigma70,serV,+,W 
sigma70,serW,+,S 
sigma70,serX,+,W 
sigma70,setA,+,S 
sigma70,sfsA,+,W 
sigma70,sgbE,+,S 
sigma70,sgbH,+,S 
sigma70,sgbU,+,S 
sigma70,sgrR,+,W 
sigma70,sgrS,+,S 
sigma70,sgrT,+,S 
sigma70,shiA,+,S 
sigma70,shoB,+,S 
sigma70,sibA,+,S 
sigma70,sibB,+,S 
sigma70,sibD,+,S 
sigma70,sibE,+,S 
sigma70,sixA,+,S 
sigma70,slmA,+,W 
sigma70,slp,+,S 
sigma70,sodA,+,S 
sigma70,sodB,+,C 
sigma70,sohB,+,W 
sigma70,sokB,+,S 
sigma70,sokC,+,S 
sigma70,soxR,+,S 
sigma70,soxS,+,S 
sigma70,speA,+,W 
sigma70,speB,+,W 
sigma70,speD,+,S 
sigma70,speE,+,S 
sigma70,spf,+,W 
sigma70,spfP,+,W 
sigma70,spoT,+,W 
sigma70,spy,+,S 
sigma70,sraG,+,S 
sigma70,srkA,+,S 
sigma70,srlA,+,S 
sigma70,srlB,+,S 
sigma70,srlD,+,S 
sigma70,srlE,+,S 
sigma70,srlR,+,S 
sigma70,sroA,+,W 
sigma70,sroC,+,W 
sigma70,sroD,+,S 
sigma70,ssb,+,S 
sigma70,ssnA,+,S 
sigma70,ssrA,+,S 
sigma70,ssrS,+,S 
sigma70,ssuA,+,S 
sigma70,ssuB,+,S 
sigma70,ssuC,+,S 
sigma70,ssuD,+,S 
sigma70,ssuE,+,S 
sigma70,stfQ,+,W 
sigma70,stfZ,+,W 
sigma70,stpA,+,S 
sigma70,sucA,+,S 
sigma70,sucB,+,S 
sigma70,sucC,+,S 
sigma70,sucD,+,S 
sigma70,sufA,+,S 
sigma70,sufB,+,S 
sigma70,sufC,+,S 
sigma70,sufD,+,S 
sigma70,sufE,+,S 
sigma70,sufS,+,S 
sigma70,sulA,+,C 
sigma70,sutR,+,S 
sigma70,sxy,+,S 
sigma70,symE,+,W 
sigma70,symR,+,S 
sigma70,tatA,+,W 
sigma70,tatB,+,W 
sigma70,tatC,+,W 
sigma70,tatD,+,W 
sigma70,tcyJ,+,S 
sigma70,tdh,+,S 
sigma70,tfaQ,+,W 
sigma70,tff,+,C 
sigma70,thiB,+,W 
sigma70,thiL,+,W 
sigma70,thiP,+,W 
sigma70,thiQ,+,W 
sigma70,thrA,+,S 
sigma70,thrB,+,S 
sigma70,thrC,+,S 
sigma70,thrL,+,S 
sigma70,thrT,+,W 
sigma70,thrU,+,W 
sigma70,thrV,+,S 
sigma70,thrW,+,W 
sigma70,thyA,+,S 
sigma70,tnaA,+,S 
sigma70,tnaB,+,S 
sigma70,tnaC,+,S 
sigma70,tomB,+,S 
sigma70,tonB,+,S 
sigma70,topA,+,S 
sigma70,torA,+,S 
sigma70,torC,+,S 
sigma70,torD,+,S 
sigma70,torR,+,S 
sigma70,tpiA,+,W 
sigma70,tpr,+,C 
sigma70,tpx,+,S 
sigma70,treB,+,S 
sigma70,treC,+,S 
sigma70,treR,+,S 
sigma70,trmD,+,S 
sigma70,trmH,+,W 
sigma70,trpA,+,S 
sigma70,trpB,+,S 
sigma70,trpC,+,S 
sigma70,trpD,+,S 
sigma70,trpE,+,S 
sigma70,trpL,+,S 
sigma70,trpR,+,C 
sigma70,trpS,+,S 
sigma70,truB,+,S 
sigma70,trxA,+,S 
sigma70,trxC,+,S 
sigma70,tsaE,+,C 
sigma70,tsf,+,C 
sigma70,tsr,+,W 
sigma70,tsx,+,S 
sigma70,ttdA,+,W 
sigma70,ttdB,+,W 
sigma70,ttdT,+,W 
sigma70,tufA,+,S 
sigma70,tufB,+,W 
sigma70,tynA,+,W 
sigma70,tyrA,+,S 
sigma70,tyrB,+,C 
sigma70,tyrP,+,S 
sigma70,tyrR,+,S 
sigma70,tyrT,+,C 
sigma70,tyrU,+,W 
sigma70,tyrV,+,C 
sigma70,ubiA,+,W 
sigma70,ubiC,+,W 
sigma70,ubiG,+,W 
sigma70,ubiH,+,S 
sigma70,ubiI,+,S 
sigma70,ubiX,+,C 
sigma70,udp,+,S 
sigma70,ugpA,+,S 
sigma70,ugpB,+,S 
sigma70,ugpC,+,S 
sigma70,ugpE,+,S 
sigma70,ugpQ,+,S 
sigma70,uhpT,+,S 
sigma70,uhpU,+,S 
sigma70,uidR,+,W 
sigma70,ulaA,+,S 
sigma70,ulaB,+,S 
sigma70,ulaC,+,S 
sigma70,ulaD,+,S 
sigma70,ulaE,+,S 
sigma70,ulaF,+,S 
sigma70,umpG,+,S 
sigma70,umpH,+,S 
sigma70,umuC,+,S 
sigma70,umuD,+,S 
sigma70,upp,+,S 
sigma70,uraA,+,S 
sigma70,uspA,+,S 
sigma70,uvrA,+,S 
sigma70,uvrB,+,S 
sigma70,uvrC,+,S 
sigma70,uvrD,+,S 
sigma70,uvrY,+,S 
sigma70,uxaA,+,W 
sigma70,uxaB,+,S 
sigma70,uxaC,+,W 
sigma70,uxuA,+,S 
sigma70,uxuB,+,S 
sigma70,uxuR,+,W 
sigma70,valS,+,S 
sigma70,valT,+,W 
sigma70,valU,+,W 
sigma70,valV,+,S 
sigma70,valW,+,S 
sigma70,valX,+,W 
sigma70,valY,+,W 
sigma70,waaA,+,S 
sigma70,waaB,+,C 
sigma70,waaC,+,S 
sigma70,waaF,+,S 
sigma70,waaG,+,C 
sigma70,waaH,+,W 
sigma70,waaJ,+,C 
sigma70,waaL,+,S 
sigma70,waaO,+,C 
sigma70,waaP,+,C 
sigma70,waaQ,+,C 
sigma70,waaS,+,C 
sigma70,waaU,+,C 
sigma70,waaY,+,S 
sigma70,waaZ,+,S 
sigma70,wcaA,+,S 
sigma70,wcaB,+,S 
sigma70,wecB,+,W 
sigma70,wecC,+,W 
sigma70,wecE,+,W 
sigma70,wecF,+,W 
sigma70,wza,+,S 
sigma70,wzb,+,S 
sigma70,wzc,+,S 
sigma70,wzxE,+,W 
sigma70,wzyE,+,W 
sigma70,wzzE,+,W 
sigma70,xapA,+,S 
sigma70,xapB,+,S 
sigma70,xapR,+,S 
sigma70,xerC,+,S 
sigma70,xerD,+,W 
sigma70,xseA,+,W 
sigma70,xseB,+,W 
sigma70,xtpA,+,W 
sigma70,xylE,+,W 
sigma70,yacC,+,S 
sigma70,yadS,+,S 
sigma70,yadV,+,S 
sigma70,yafN,+,W 
sigma70,yafO,+,W 
sigma70,yafP,+,W 
sigma70,yafQ,+,W 
sigma70,yagK,+,W 
sigma70,yaiA,+,S 
sigma70,yajG,+,S 
sigma70,yajO,+,W 
sigma70,ybbY,+,W 
sigma70,ybdN,+,W 
sigma70,ybdZ,+,S 
sigma70,ybeD,+,W 
sigma70,ybhF,+,W 
sigma70,ybhG,+,W 
sigma70,ybhL,+,S 
sigma70,ybhR,+,W 
sigma70,ybhS,+,W 
sigma70,ybiB,+,W 
sigma70,ybjC,+,S 
sigma70,ybjN,+,W 
sigma70,ycaR,+,S 
sigma70,yccA,+,S 
sigma70,ycdZ,+,W 
sigma70,yceI,+,W 
sigma70,yceJ,+,W 
sigma70,ycgZ,+,S 
sigma70,ychA,+,S 
sigma70,ychF,+,S 
sigma70,ychH,+,S 
sigma70,ychO,+,W 
sigma70,ychQ,+,S 
sigma70,yciB,+,W 
sigma70,yciC,+,W 
sigma70,yciE,+,W 
sigma70,yciH,+,S 
sigma70,yciW,+,W 
sigma70,yciX,+,S 
sigma70,ydeI,+,W 
sigma70,ydeJ,+,W 
sigma70,ydeM,+,S 
sigma70,ydeN,+,S 
sigma70,ydeO,+,S 
sigma70,ydeP,+,S 
sigma70,ydfA,+,S 
sigma70,ydfB,+,S 
sigma70,ydfC,+,S 
sigma70,ydfD,+,W 
sigma70,ydfE,+,W 
sigma70,ydfW,+,S 
sigma70,ydfX,+,S 
sigma70,ydjM,+,W 
sigma70,yeaE,+,W 
sigma70,yeaR,+,S 
sigma70,yebB,+,W 
sigma70,yebC,+,W 
sigma70,yebE,+,S 
sigma70,yebG,+,W 
sigma70,yefM,+,S 
sigma70,yegR,+,S 
sigma70,yegZ,+,S 
sigma70,yehF,+,S 
sigma70,yeiB,+,W 
sigma70,yfaE,+,S 
sigma70,yfdE,+,S 
sigma70,yfdV,+,S 
sigma70,yfdX,+,S 
sigma70,yffB,+,W 
sigma70,yfgG,+,C 
sigma70,yfiB,+,S 
sigma70,yfiR,+,S 
sigma70,ygeA,+,S 
sigma70,ygeH,+,W 
sigma70,ygfB,+,S 
sigma70,yhaV,+,W 
sigma70,yhbE,+,S 
sigma70,yhdT,+,S 
sigma70,yhfA,+,S 
sigma70,yhgH,+,W 
sigma70,yhhY,+,W 
sigma70,yhiD,+,S 
sigma70,yhjR,+,S 
sigma70,yhjX,+,S 
sigma70,yiaK,+,S 
sigma70,yiaL,+,S 
sigma70,yiaM,+,S 
sigma70,yiaN,+,S 
sigma70,yiaO,+,S 
sigma70,yibN,+,S 
sigma70,yigA,+,S 
sigma70,yigB,+,S 
sigma70,yihI,+,S 
sigma70,yihS,+,S 
sigma70,yihT,+,S 
sigma70,yihU,+,S 
sigma70,yihV,+,S 
sigma70,yjbE,+,S 
sigma70,yjbF,+,S 
sigma70,yjbG,+,S 
sigma70,yjbH,+,S 
sigma70,yjcH,+,W 
sigma70,yjeV,+,S 
sigma70,yjjQ,+,S 
sigma70,yjjZ,+,S 
sigma70,ykgM,+,W 
sigma70,ykgO,+,W 
sigma70,ykgR,+,S 
sigma70,yliM,+,S 
sigma70,ymgA,+,S 
sigma70,ymgC,+,S 
sigma70,ymiA,+,S 
sigma70,ymiC,+,S 
sigma70,ynfE,+,S 
sigma70,ynfF,+,S 
sigma70,ynfG,+,S 
sigma70,ynfH,+,S 
sigma70,yoaE,+,S 
sigma70,yoaG,+,S 
sigma70,yobF,+,S 
sigma70,yoeB,+,S 
sigma70,yojI,+,W 
sigma70,ypfN,+,W 
sigma70,yqhD,+,S 
sigma70,yqjA,+,S 
sigma70,yrbG,+,S 
sigma70,yrbN,+,S 
sigma70,ysgA,+,W 
sigma70,ytiC,+,S 
sigma70,ytiD,+,S 
sigma70,zinT,+,S 
sigma70,zntA,+,S 
sigma70,znuB,+,S 
sigma70,znuC,+,S
