regulator,gene_name,gene_id,effect,evidence,source
Fur,entD,b0583,-,2,RegulonDB_TF
Fur,entC,b0593,-,2,RegulonDB_TF
Fur,entB,b0595,-,2,RegulonDB_TF
Fur,entA,b0596,-,2,RegulonDB_TF
RpsO,rpsO,b3165,-,2,RegulonDB_TF
IHF,tdcA,b3118,+,2,RegulonDB_TF
Fur,fepD,b0590,-,2,RegulonDB_TF
Lrp,dadX,b1190,-,2,RegulonDB_TF
Fnr,nrfC,b4072,+,2,RegulonDB_TF
Fnr,ccmE,b2197,+,2,RegulonDB_TF
Fnr,ccmF,b2196,+,2,RegulonDB_TF
Fnr,ccmG,b2195,+,2,RegulonDB_TF
Fnr,ccmH,b2194,+,2,RegulonDB_TF
IHF,tdcB,b3117,+,2,RegulonDB_TF
Fnr,nrfG,b4076,+,2,RegulonDB_TF
Fnr,nrfF,b4075,+,2,RegulonDB_TF
Fnr,nrfE,b4074,+,2,RegulonDB_TF
Fnr,nrfD,b4073,+,2,RegulonDB_TF
RpoD,dnaG,b3066,+,2,RegulonDB_sigma
Fur,fepE,b0587,-,2,RegulonDB_TF
Fur,fhuC,b0151,-,2,RegulonDB_TF
RpoD,dppA,b3544,+,2,RegulonDB_sigma
RpoD,dppB,b3543,+,2,RegulonDB_sigma
RpoD,dppC,b3542,+,2,RegulonDB_sigma
RpoD,dppD,b3541,+,2,RegulonDB_sigma
RpoD,dppF,b3540,+,2,RegulonDB_sigma
Fnr,nrfB,b4071,+,2,RegulonDB_TF
Fur,fes,b0585,-,2,RegulonDB_TF
Fur,fepG,b0589,-,2,RegulonDB_TF
RpoD,epd,b2927,+,2,RegulonDB_sigma
Fnr,ravA,b3746,+,2,RegulonDB_TF
Fnr,viaA,b3745,+,2,RegulonDB_TF
RpoD,fis,b3261,+,2,RegulonDB_sigma
IHF,narG,b1224,+,2,RegulonDB_TF
IHF,ilvM,b3769,-+,2,RegulonDB_TF
IHF,ilvE,b3770,-+,2,RegulonDB_TF
IHF,ilvD,b3771,-+,2,RegulonDB_TF
IHF,ilvA,b3772,-+,2,RegulonDB_TF
Fnr,ompW,b1256,-+,2,RegulonDB_TF
CysB,cysK,b2414,+,2,RegulonDB_TF
GalR,galP,b2943,-,2,RegulonDB_TF
GalR,galM,b0756,-+,2,RegulonDB_TF
GalR,galT,b0758,-+,2,RegulonDB_TF
Fnr,fdnH,b1475,-+,2,RegulonDB_TF
GalR,galK,b0757,-+,2,RegulonDB_TF
GalR,galE,b0759,-+,2,RegulonDB_TF
MelR,melR,b4118,-+,2,RegulonDB_TF
MelR,melB,b4120,-+,2,RegulonDB_TF
MelR,melA,b4119,-+,2,RegulonDB_TF
RplD,tnaA,b3708,-,2,RegulonDB_TF
NarP,ydhY,b1674,-,2,RegulonDB_TF
NarP,ydhV,b1673,-,2,RegulonDB_TF
NarP,ydhW,b1672,-,2,RegulonDB_TF
Fnr,fdnG,b1474,-+,2,RegulonDB_TF
Fnr,fdnI,b1476,-+,2,RegulonDB_TF
IHF,pspE,b1308,+,2,RegulonDB_TF
IHF,ompR,b3405,-,2,RegulonDB_TF
IHF,pspD,b1307,+,2,RegulonDB_TF
IHF,pspC,b1306,+,2,RegulonDB_TF
IHF,pspB,b1305,+,2,RegulonDB_TF
IHF,pspA,b1304,+,2,RegulonDB_TF
CpxR,xylE,b4031,-,2,RegulonDB_TF
Lrp,fimI,b4315,+,2,RegulonDB_TF
CpxR,yccA,b0970,+,2,RegulonDB_TF
Fnr,nikR,b3481,+,2,RegulonDB_TF
IHF,pflB,b0903,+,2,RegulonDB_TF
Fnr,nrdD,b4238,+,2,RegulonDB_TF
IHF,narH,b1225,+,2,RegulonDB_TF
IHF,ompC,b2215,-,2,RegulonDB_TF
ArcA,nuoF,b2284,-,2,RegulonDB_TF
RpoD,fecI,b4293,+,2,RegulonDB_sigma
RpoD,fecR,b4292,+,2,RegulonDB_sigma
IHF,ndh,b1109,-,2,RegulonDB_TF
IHF,narJ,b1226,+,2,RegulonDB_TF
IHF,narI,b1227,+,2,RegulonDB_TF
Fnr,focA,b0904,+,2,RegulonDB_TF
XylR,xylE,b4031,+,2,RegulonDB_TF
PlaR,yiaO,b3579,-,2,RegulonDB_TF
PlaR,yiaN,b3578,-,2,RegulonDB_TF
Fnr,ccmB,b2200,+,2,RegulonDB_TF
CusR,cusS,b0570,+,2,RegulonDB_TF
PurR,purM,b2499,-,2,RegulonDB_TF
NfeR,nfeF,b3070,-,2,RegulonDB_TF
NfeR,nfeR,b3071,-,2,RegulonDB_TF
PurR,purH,b4006,-,2,RegulonDB_TF
PurR,purF,b2312,-,2,RegulonDB_TF
RpoS,epd,b2927,+,2,RegulonDB_sigma
PurR,purD,b4005,-,2,RegulonDB_TF
PurR,purC,b2476,-,2,RegulonDB_TF
PurR,glyA,b2551,-,2,RegulonDB_TF
PurR,cvpA,b2313,-,2,RegulonDB_TF
H-NS,yfaE,b2236,-,2,RegulonDB_TF
GntR,gntT,b3415,-,2,RegulonDB_TF
GlpR,glpA,b2241,-,2,RegulonDB_TF
CusR,msrQ,b1972,+,2,RegulonDB_TF
CusR,msrP,b1971,+,2,RegulonDB_TF
CusR,hiuH,b1970,+,2,RegulonDB_TF
CusR,cusB,b0574,+,2,RegulonDB_TF
CusR,cusF,b0573,+,2,RegulonDB_TF
H-NS,cas2,b2754,-,2,RegulonDB_TF
RpoN,astD,b1746,+,2,RegulonDB_sigma
CusR,cusR,b0571,+,2,RegulonDB_TF
PurR,purN,b2500,-,2,RegulonDB_TF
PurR,purR,b1658,-,2,RegulonDB_TF
PurR,pyrC,b1062,-,2,RegulonDB_TF
FrlR,frlA,b3370,-,2,RegulonDB_TF
PhoB,ugpA,b3452,-+,2,RegulonDB_TF
PhoB,sbcC,b0397,-,2,RegulonDB_TF
PhoB,pstC,b3727,+,2,RegulonDB_TF
PhoB,pstB,b3725,+,2,RegulonDB_TF
PurR,purT,b1849,-,2,RegulonDB_TF
PhoB,pstA,b3726,+,2,RegulonDB_TF
FrlR,frlB,b3371,-,2,RegulonDB_TF
PhoB,pstS,b3728,+,2,RegulonDB_TF
PhoB,phoR,b0400,+,2,RegulonDB_TF
PurR,ubiX,b2311,-,2,RegulonDB_TF
RpoD,hybO,b2997,+,2,RegulonDB_sigma
PhoB,phoE,b0241,+,2,RegulonDB_TF
PhoB,phoB,b0399,+,2,RegulonDB_TF
RpoD,hybA,b2996,+,2,RegulonDB_sigma
RpoD,hybB,b2995,+,2,RegulonDB_sigma
RpoD,hybC,b2994,+,2,RegulonDB_sigma
RpoD,hybD,b2993,+,2,RegulonDB_sigma
RpoD,hybE,b2992,+,2,RegulonDB_sigma
RpoD,hybF,b2991,+,2,RegulonDB_sigma
RpoD,hybG,b2990,+,2,RegulonDB_sigma
H-NS,mdtU,b4777,-,2,RegulonDB_TF
CusR,cusA,b0575,+,2,RegulonDB_TF
PlaR,yiaM,b3577,-,2,RegulonDB_TF
