regulator,gene_name,gene_id,effect,evidence,source
NarL,ydhY,b1674,-,1,RegulonDB_TF
NarL,ynfF,b1588,-,1,RegulonDB_TF
NarL,ynfH,b1590,-,1,RegulonDB_TF
NarP,fdnG,b1474,-,1,RegulonDB_TF
NarP,fdnI,b1476,-,1,RegulonDB_TF
NarL,yoaG,b1796,+,1,RegulonDB_TF
NarP,ccmA,b2201,?,1,RegulonDB_TF
NarP,ccmB,b2200,?,1,RegulonDB_TF
NarP,ccmC,b2199,?,1,RegulonDB_TF
NarP,ccmD,b2198,?,1,RegulonDB_TF
NarP,ccmE,b2197,?,1,RegulonDB_TF
NarP,ccmF,b2196,?,1,RegulonDB_TF
NarP,ccmG,b2195,?,1,RegulonDB_TF
NarP,ccmH,b2194,?,1,RegulonDB_TF
NarP,fdnH,b1475,-,1,RegulonDB_TF
NarP,napA,b2206,?,1,RegulonDB_TF
NarL,ynfG,b1589,-,1,RegulonDB_TF
NarP,napB,b2203,?,1,RegulonDB_TF
NarP,napC,b2202,?,1,RegulonDB_TF
NarP,napD,b2207,?,1,RegulonDB_TF
NarP,napF,b2208,?,1,RegulonDB_TF
NarP,napG,b2205,?,1,RegulonDB_TF
Rob,zwf,b1852,+,1,RegulonDB_TF
NarP,napH,b2204,?,1,RegulonDB_TF
NarL,yeaR,b1797,+,1,RegulonDB_TF
NarL,napF,b2208,-,1,RegulonDB_TF
NagC,chbB,b1738,-,1,RegulonDB_TF
PdhR,mraY,b0087,-,1,RegulonDB_TF
PepA,pepA,b4260,-,1,RegulonDB_TF
PepA,carB,b0033,-,1,RegulonDB_TF
PepA,carA,b0032,-,1,RegulonDB_TF
PdhR,rsmH,b0082,-,1,RegulonDB_TF
PdhR,murG,b0090,-,1,RegulonDB_TF
PdhR,murF,b0086,-,1,RegulonDB_TF
PdhR,murE,b0085,-,1,RegulonDB_TF
PdhR,murD,b0088,-,1,RegulonDB_TF
PdhR,murC,b0091,-,1,RegulonDB_TF
PdhR,mraZ,b0081,-,1,RegulonDB_TF
PdhR,lpxC,b0096,-,1,RegulonDB_TF
PdhR,ftsI,b0084,-,1,RegulonDB_TF
PdhR,ftsZ,b0095,-,1,RegulonDB_TF
PdhR,ftsW,b0089,-,1,RegulonDB_TF
PdhR,ftsQ,b0093,-,1,RegulonDB_TF
PdhR,ftsL,b0083,-,1,RegulonDB_TF
OxyR,ychF,b1203,-,1,RegulonDB_TF
PdhR,ftsA,b0094,-,1,RegulonDB_TF
PaaX,paaY,b1400,-,1,RegulonDB_TF
PaaX,paaX,b1399,-,1,RegulonDB_TF
PdhR,ddlB,b0092,-,1,RegulonDB_TF
NarL,napH,b2204,-,1,RegulonDB_TF
NarL,ccmA,b2201,-,1,RegulonDB_TF
RclR,rclC,b0301,+,1,RegulonDB_TF
RcdA,ydeI,b1536,+,1,RegulonDB_TF
NikR,nikC,b3478,-,1,RegulonDB_TF
RcsAB,wcaB,b2058,+,1,RegulonDB_TF
NikR,nikD,b3479,-,1,RegulonDB_TF
RcsB,ftsZ,b0095,+,1,RegulonDB_TF
RcsB,ftsA,b0094,+,1,RegulonDB_TF
RcsB,bdm,b1481,+,1,RegulonDB_TF
NikR,nikE,b3480,-,1,RegulonDB_TF
NikR,nikR,b3481,-,1,RegulonDB_TF
RcsAB,wza,b2062,+,1,RegulonDB_TF
RclR,rclA,b0304,+,1,RegulonDB_TF
RcsAB,rcsA,b1951,+,1,RegulonDB_TF
RcnR,rcnR,b2105,-,1,RegulonDB_TF
RcnR,rcnB,b2107,-,1,RegulonDB_TF
NrdR,nrdI,b2674,-,1,RegulonDB_TF
NrdR,nrdH,b2673,-,1,RegulonDB_TF
NrdR,nrdG,b4237,-,1,RegulonDB_TF
NikR,nikA,b3476,-,1,RegulonDB_TF
RcdA,rsd,b3995,+,1,RegulonDB_TF
RcdA,rmf,b0953,+,1,RegulonDB_TF
RcdA,csgG,b1037,+,1,RegulonDB_TF
RcdA,csgF,b1038,+,1,RegulonDB_TF
RcdA,csgE,b1039,+,1,RegulonDB_TF
RcdA,csgD,b1040,+,1,RegulonDB_TF
RcdA,asr,b1597,+,1,RegulonDB_TF
NrdR,nrdF,b2676,-,1,RegulonDB_TF
RcdA,yagK,b0277,-,1,RegulonDB_TF
QseB,qseC,b3026,+,1,RegulonDB_TF
QseB,qseB,b3025,+,1,RegulonDB_TF
NrdR,nrdD,b4238,-,1,RegulonDB_TF
NrdR,nrdE,b2675,-,1,RegulonDB_TF
RcnR,rcnA,b2106,-,1,RegulonDB_TF
RclR,rclB,b0303,+,1,RegulonDB_TF
NarL,aspA,b4139,-,1,RegulonDB_TF
NarL,ccmC,b2199,-,1,RegulonDB_TF
NarL,napG,b2205,-,1,RegulonDB_TF
NagC,chbF,b1734,-,1,RegulonDB_TF
NagC,chbG,b1733,-,1,RegulonDB_TF
NagC,chbR,b1735,-,1,RegulonDB_TF
NagC,chiQ,b0682,-,1,RegulonDB_TF
NarL,ccmB,b2200,-,1,RegulonDB_TF
NarL,ccmE,b2197,-,1,RegulonDB_TF
NarL,napD,b2207,-,1,RegulonDB_TF
NarL,napC,b2202,-,1,RegulonDB_TF
NarL,dmsC,b0896,-,1,RegulonDB_TF
NarL,ccmF,b2196,-,1,RegulonDB_TF
NarL,ccmG,b2195,-,1,RegulonDB_TF
NarL,ccmH,b2194,-,1,RegulonDB_TF
NarL,dcuA,b4138,-,1,RegulonDB_TF
NarL,dcuR,b4124,-,1,RegulonDB_TF
NarL,dcuS,b4125,-,1,RegulonDB_TF
NarL,dmsA,b0894,-,1,RegulonDB_TF
NarL,dmsB,b0895,-,1,RegulonDB_TF
NarL,dmsD,b1591,-,1,RegulonDB_TF
NarL,napB,b2203,-,1,RegulonDB_TF
NarL,fdhF,b4079,-,1,RegulonDB_TF
NarL,fdnH,b1475,+,1,RegulonDB_TF
NarL,ccmD,b2198,-,1,RegulonDB_TF
NarL,fdnI,b1476,+,1,RegulonDB_TF
NarL,focA,b0904,-,1,RegulonDB_TF
NarL,frdA,b4154,-,1,RegulonDB_TF
NarL,frdB,b4153,-,1,RegulonDB_TF
NarL,frdC,b4152,-,1,RegulonDB_TF
NarL,frdD,b4151,-,1,RegulonDB_TF
NarL,hcp,b0873,+,1,RegulonDB_TF
NarL,hcr,b0872,+,1,RegulonDB_TF
NarL,napA,b2206,-,1,RegulonDB_TF
PgrR,tyrR,b1323,-,1,RegulonDB_TF
PhoB,psiF,b0384,+,1,RegulonDB_TF
PhoB,psiE,b4030,+,1,RegulonDB_TF
PhoB,prpR,b0330,-,1,RegulonDB_TF
PhoB,phoU,b3724,+,1,RegulonDB_TF
PhoB,phoH,b1020,+,1,RegulonDB_TF
NagC,chbC,b1737,-,1,RegulonDB_TF
NagC,chbA,b1736,-,1,RegulonDB_TF
IHF,cysI,b2763,+,1,RegulonDB_TF
IscR,napA,b2206,-,1,RegulonDB_TF
IscR,erpA,b0156,-,1,RegulonDB_TF
IscR,hyaB,b0973,-,1,RegulonDB_TF
IscR,hyaE,b0976,-,1,RegulonDB_TF
PhoB,ydfH,b1540,+,1,RegulonDB_TF
PhoB,phnD,b4105,+,1,RegulonDB_TF
PhoB,phnC,b4106,+,1,RegulonDB_TF
PhoB,hiuH,b1970,+,1,RegulonDB_TF
PhoB,phnP,b4092,+,1,RegulonDB_TF
PhoB,feaR,b1384,-,1,RegulonDB_TF
PhoB,eda,b1850,-,1,RegulonDB_TF
PhoB,cusS,b0570,+,1,RegulonDB_TF
PhoB,cusR,b0571,+,1,RegulonDB_TF
PhoB,cusF,b0573,+,1,RegulonDB_TF
PhoB,cusC,b0572,+,1,RegulonDB_TF
PhoB,cusB,b0574,+,1,RegulonDB_TF
PhoB,cusA,b0575,+,1,RegulonDB_TF
PhoB,yegH,b2063,+,1,RegulonDB_TF
PgrR,ycjX,b1321,-,1,RegulonDB_TF
PhoB,phnO,b4093,+,1,RegulonDB_TF
PhoB,phoA,b0383,+,1,RegulonDB_TF
PhoP,hdeD,b3511,+,1,RegulonDB_TF
PhoP,hdeB,b3509,+,1,RegulonDB_TF
PhoP,hdeA,b3510,+,1,RegulonDB_TF
PhoP,gadW,b3515,+,1,RegulonDB_TF
PhoP,borD,b0557,+,1,RegulonDB_TF
NsrR,tcyJ,b1920,-,1,RegulonDB_TF
PhoB,yhjC,b3521,+,1,RegulonDB_TF
PhoB,phnF,b4102,+,1,RegulonDB_TF
IclR,aceB,b4014,-,1,RegulonDB_TF
IHF,yiaJ,b3574,-,1,RegulonDB_TF
IHF,yjbE,b4026,+,1,RegulonDB_TF
IHF,yjbF,b4027,+,1,RegulonDB_TF
IHF,yjbG,b4028,+,1,RegulonDB_TF
IHF,yjbH,b4029,+,1,RegulonDB_TF
IscR,sufE,b1679,+,1,RegulonDB_TF
IscR,ydiU,b1706,+,1,RegulonDB_TF
IHF,ssuD,b0935,?,1,RegulonDB_TF
LrhA,leuO,b0076,+,1,RegulonDB_TF
LexA,symE,b4347,-,1,RegulonDB_TF
LexA,umuC,b1184,-,1,RegulonDB_TF
LexA,umuD,b1183,-,1,RegulonDB_TF
LexA,ybiB,b0800,-,1,RegulonDB_TF
IscR,napB,b2203,-,1,RegulonDB_TF
IscR,napC,b2202,-,1,RegulonDB_TF
IscR,napD,b2207,-,1,RegulonDB_TF
IscR,napF,b2208,-,1,RegulonDB_TF
IscR,napG,b2205,-,1,RegulonDB_TF
IscR,napH,b2204,-,1,RegulonDB_TF
IscR,nfuA,b3414,-,1,RegulonDB_TF
IscR,rnlA,b2630,-,1,RegulonDB_TF
IscR,rnlB,b2631,-,1,RegulonDB_TF
IscR,sufA,b1684,+,1,RegulonDB_TF
IscR,sufC,b1682,+,1,RegulonDB_TF
IscR,sufD,b1681,+,1,RegulonDB_TF
IHF,tcyJ,b1920,-,1,RegulonDB_TF
PhoB,phnE,b4583,+,1,RegulonDB_TF
PhoB,phnG,b4101,+,1,RegulonDB_TF
OmpR,fadL,b2344,-,1,RegulonDB_TF
PhoP,yhiD,b3508,+,1,RegulonDB_TF
OxyR,poxB,b0871,+,1,RegulonDB_TF
OxyR,oxyS,b4458,+,1,RegulonDB_TF
OxyR,isrC,b4435,-,1,RegulonDB_TF
OxyR,hemH,b0475,+,1,RegulonDB_TF
OxyR,hcr,b0872,+,1,RegulonDB_TF
OxyR,hcp,b0873,+,1,RegulonDB_TF
OxyR,grxA,b0849,+,1,RegulonDB_TF
NtrC,glnA,b3870,?,1,RegulonDB_TF
PgrR,mpaA,b1326,-,1,RegulonDB_TF
PgrR,ycjF,b1322,-,1,RegulonDB_TF
PuuR,puuP,b1296,-,1,RegulonDB_TF
OmpR,bolA,b0435,-,1,RegulonDB_TF
NtrC,glnH,b0811,?,1,RegulonDB_TF
OmpR,pgaD,b1021,-,1,RegulonDB_TF
OmpR,pgaC,b1022,-,1,RegulonDB_TF
OmpR,pgaB,b1023,-,1,RegulonDB_TF
OmpR,pgaA,b1024,-,1,RegulonDB_TF
NtrC,glnP,b0810,?,1,RegulonDB_TF
NtrC,glnQ,b0809,?,1,RegulonDB_TF
OmpR,cadC,b4133,-,1,RegulonDB_TF
OmpR,cadB,b4132,-,1,RegulonDB_TF
OmpR,cadA,b4131,-,1,RegulonDB_TF
NtrC,relA,b2784,+,1,RegulonDB_TF
NtrC,rpoE,b2573,+,1,RegulonDB_TF
NtrC,rseA,b2572,+,1,RegulonDB_TF
NtrC,rseB,b2571,+,1,RegulonDB_TF
OxyR,ccp,b3518,+,1,RegulonDB_TF
PhoP,yrbL,b3207,+,1,RegulonDB_TF
PhoP,ydeO,b1499,-,1,RegulonDB_TF
PhoB,phnH,b4100,+,1,RegulonDB_TF
PurR,carB,b0033,-,1,RegulonDB_TF
PurR,purB,b1131,-,1,RegulonDB_TF
PurR,purA,b4177,-,1,RegulonDB_TF
PurR,hflD,b1132,-,1,RegulonDB_TF
NsrR,fliA,b1922,-,1,RegulonDB_TF
NsrR,fliZ,b1921,-,1,RegulonDB_TF
PhoP,mgrB,b1826,+,1,RegulonDB_TF
PhoP,hemL,b0154,+,1,RegulonDB_TF
PgrR,ycjG,b1325,-,1,RegulonDB_TF
PhoB,mipA,b1782,+,1,RegulonDB_TF
PhoB,phnN,b4094,+,1,RegulonDB_TF
PhoB,phnM,b4095,+,1,RegulonDB_TF
PhoB,phnL,b4096,+,1,RegulonDB_TF
PhoB,phnK,b4097,+,1,RegulonDB_TF
PhoB,phnJ,b4098,+,1,RegulonDB_TF
PhoB,phnI,b4099,+,1,RegulonDB_TF
PhoP,phoP,b1130,?,1,RegulonDB_TF
PhoP,slyB,b1641,?,1,RegulonDB_TF
PhoP,safA,b1500,-,1,RegulonDB_TF
NsrR,nrfC,b4072,-,1,RegulonDB_TF
PhoP,rstB,b1609,+,1,RegulonDB_TF
PhoP,rstA,b1608,+,1,RegulonDB_TF
PhoP,phoQ,b1129,?,1,RegulonDB_TF
PhoP,nagA,b0677,+,1,RegulonDB_TF
PurR,carA,b0032,-,1,RegulonDB_TF
PhoP,iraM,b1160,+,1,RegulonDB_TF
PuuR,puuC,b1300,-,1,RegulonDB_TF
PuuR,puuB,b1301,-,1,RegulonDB_TF
ppGpp,yebO,b1825,+,1,PMID:30971496
ppGpp,hdhA,b1619,-,1,PMID:30971496
ppGpp,ppnP,b0391,-,1,PMID:30971496
ppGpp,dgt,b0160,-,1,PMID:30971496
ppGpp,rimJ,b1066,-,1,PMID:30971496
ppGpp,gcvH,b2904,-,1,PMID:30971496
ppGpp,nlpC,b1708,-,1,PMID:30971496
ppGpp,yaeH,b0163,-,1,PMID:30971496
ppGpp,yciI,b1251,-,1,PMID:30971496
ppGpp,aceK,b4016,-,1,PMID:30971496
ppGpp,glnH,b0811,-,1,PMID:30971496
Crp,cas1,b2755,-,1,RegulonDB_TF
Crp,casA,b2760,-,1,RegulonDB_TF
ppGpp,gltB,b3212,-,1,PMID:30971496
ppGpp,yhjD,b3522,-,1,PMID:30971496
ppGpp,ybhG,b0795,-,1,PMID:30971496
ppGpp,msrA,b4219,-,1,PMID:30971496
ppGpp,slp,b3506,-,1,PMID:30971496
ppGpp,rhaT,b3907,-,1,PMID:30971496
ppGpp,rbbA,b3486,-,1,PMID:30971496
ppGpp,iraP,b0382,-,1,PMID:30971496
ppGpp,ybhS,b0793,-,1,PMID:30971496
ppGpp,prkB,b3355,-,1,PMID:30971496
ppGpp,yhcN,b3238,-,1,PMID:30971496
Crp,chbB,b1738,+,1,RegulonDB_TF
Crp,casB,b2759,-,1,RegulonDB_TF
ppGpp,gstB,b0838,-,1,PMID:30971496
Crp,cas2,b2754,-,1,RegulonDB_TF
ppGpp,otsA,b1896,-,1,PMID:30971496
ppGpp,kch,b1250,-,1,PMID:30971496
ppGpp,uspB,b3494,-,1,PMID:30971496
Crp,ascF,b2715,+,1,RegulonDB_TF
ppGpp,nudK,b2467,-,1,PMID:30971496
ppGpp,cysN,b2751,-,1,PMID:30971496
ppGpp,yjhI,b4299,-,1,PMID:30971496
ppGpp,yqiK,b3051,-,1,PMID:30971496
ppGpp,ycaN,b0900,-,1,PMID:30971496
Crp,hflC,b4175,-,1,RegulonDB_TF
ppGpp,glpA,b2241,-,1,PMID:30971496
ppGpp,yjgH,b4248,-,1,PMID:30971496
ppGpp,ymfJ,b1144,-,1,PMID:30971496
ppGpp,yeiS,b2145,-,1,PMID:30971496
Crp,dusB,b3260,?,1,RegulonDB_TF
ppGpp,yjiJ,b4332,-,1,PMID:30971496
Crp,hflK,b4174,-,1,RegulonDB_TF
ppGpp,alkA,b2068,-,1,PMID:30971496
ppGpp,thrC,b0004,-,1,PMID:30971496
ppGpp,yqeH,b2846,-,1,PMID:30971496
ppGpp,yadK,b0136,-,1,PMID:30971496
ppGpp,yfdF,b2345,-,1,PMID:30971496
ppGpp,yjjJ,b4385,-,1,PMID:30971496
ppGpp,pstS,b3728,-,1,PMID:30971496
ppGpp,kdpB,b0697,-,1,PMID:30971496
Crp,hflX,b4173,-,1,RegulonDB_TF
ppGpp,ytfI,b4215,-,1,PMID:30971496
ppGpp,eutD,b2458,-,1,PMID:30971496
ppGpp,gltA,b0720,-,1,PMID:30971496
ppGpp,katG,b3942,-,1,PMID:30971496
ppGpp,yafD,b0209,-,1,PMID:30971496
ppGpp,putA,b1014,-,1,PMID:30971496
Crp,hupB,b0440,+,1,RegulonDB_TF
Crp,hupA,b4000,+,1,RegulonDB_TF
Crp,hofP,b3392,+,1,RegulonDB_TF
Crp,hfq,b4172,-,1,RegulonDB_TF
Crp,hofO,b3393,+,1,RegulonDB_TF
Crp,hofN,b3394,+,1,RegulonDB_TF
Crp,hofM,b3395,+,1,RegulonDB_TF
Crp,hofC,b0106,+,1,RegulonDB_TF
Crp,hofB,b0107,+,1,RegulonDB_TF
ppGpp,ppnN,b2795,-,1,PMID:30971496
ppGpp,fucR,b2805,-,1,PMID:30971496
ppGpp,yjbQ,b4056,-,1,PMID:30971496
ppGpp,ldtD,b0925,-,1,PMID:30971496
Crp,araJ,b0396,?,1,RegulonDB_TF
ppGpp,yeiG,b2154,-,1,PMID:30971496
ppGpp,dps,b0812,-,1,PMID:30971496
ppGpp,yjdC,b4135,-,1,PMID:30971496
ppGpp,dkgA,b3012,-,1,PMID:30971496
ppGpp,ybjP,b0865,-,1,PMID:30971496
ppGpp,gstA,b1635,-,1,PMID:30971496
ppGpp,hpf,b3203,-,1,PMID:30971496
ppGpp,yfbU,b2294,-,1,PMID:30971496
ppGpp,yhfA,b3356,-,1,PMID:30971496
ppGpp,gcvR,b2479,-,1,PMID:30971496
ppGpp,rsd,b3995,-,1,PMID:30971496
Crp,ansB,b2957,+,1,RegulonDB_TF
ppGpp,gadW,b3515,-,1,PMID:30971496
ppGpp,ivy,b0220,-,1,PMID:30971496
ppGpp,glgC,b3430,-,1,PMID:30971496
ppGpp,csgD,b1040,-,1,PMID:30971496
ppGpp,yhhY,b3441,-,1,PMID:30971496
ppGpp,smf,b4473,-,1,PMID:30971496
ppGpp,pgl,b0767,-,1,PMID:30971496
Crp,chbG,b1733,+,1,RegulonDB_TF
Crp,chbC,b1737,+,1,RegulonDB_TF
ppGpp,yhbW,b3160,-,1,PMID:30971496
ppGpp,yieF,b3713,-,1,PMID:30971496
ppGpp,ygjR,b3087,-,1,PMID:30971496
ppGpp,dtd,b3887,-,1,PMID:30971496
ppGpp,gsiB,b0830,-,1,PMID:30971496
ppGpp,aroD,b1693,-,1,PMID:30971496
ppGpp,ugpB,b3453,-,1,PMID:30971496
ppGpp,gcvP,b2903,-,1,PMID:30971496
ppGpp,fimB,b4312,-,1,PMID:30971496
ppGpp,dhaR,b1201,-,1,PMID:30971496
Crp,ascB,b2716,+,1,RegulonDB_TF
ppGpp,cutA,b4137,-,1,PMID:30971496
Crp,casC,b2758,-,1,RegulonDB_TF
ppGpp,rpoS,b2741,-,1,PMID:30971496
Crp,casD,b2757,-,1,RegulonDB_TF
Crp,casE,b2756,-,1,RegulonDB_TF
ppGpp,yhaH,b3103,-,1,PMID:30971496
ppGpp,betA,b0311,-,1,PMID:30971496
Crp,chbA,b1736,+,1,RegulonDB_TF
ppGpp,pepT,b1127,-,1,PMID:30971496
ppGpp,ybaQ,b0483,-,1,PMID:30971496
ppGpp,grxB,b1064,-,1,PMID:30971496
ppGpp,yiiQ,b3920,-,1,PMID:30971496
ppGpp,yjbR,b4057,-,1,PMID:30971496
ppGpp,fucU,b2804,-,1,PMID:30971496
Crp,chbF,b1734,+,1,RegulonDB_TF
ppGpp,osmE,b1739,-,1,PMID:30971496
ppGpp,ppc,b3956,-,1,PMID:30971496
ppGpp,yhhX,b3440,-,1,PMID:30971496
ppGpp,osmC,b1482,-,1,PMID:30971496
ppGpp,uspG,b0607,-,1,PMID:30971496
ppGpp,ybfA,b0699,-,1,PMID:30971496
ppGpp,uspA,b3495,-,1,PMID:30971496
ppGpp,argE,b3957,-,1,PMID:30971496
ppGpp,serC,b0907,-,1,PMID:30971496
ppGpp,waaH,b3615,-,1,PMID:30971496
ppGpp,qorA,b4051,-,1,PMID:30971496
Crp,araE,b2841,+,1,RegulonDB_TF
ppGpp,tyrB,b4054,-,1,PMID:30971496
ppGpp,argT,b2310,-,1,PMID:30971496
ppGpp,smg,b3284,-,1,PMID:30971496
ppGpp,yddM,b1477,-,1,PMID:30971496
Crp,cyaA,b3806,-,1,RegulonDB_TF
ppGpp,yidL,b3680,-,1,PMID:30971496
ppGpp,yihY,b3886,-,1,PMID:30971496
ppGpp,ydiP,b1696,-,1,PMID:30971496
ppGpp,ykfB,b0250,-,1,PMID:30971496
ppGpp,yghU,b2989,-,1,PMID:30971496
ppGpp,qseB,b3025,-,1,PMID:30971496
ppGpp,yhdH,b3253,-,1,PMID:30971496
ppGpp,ybjQ,b0866,-,1,PMID:30971496
ppGpp,gadX,b3516,-,1,PMID:30971496
ppGpp,pspF,b1303,-,1,PMID:30971496
ppGpp,yhhJ,b3485,-,1,PMID:30971496
ppGpp,ariR,b1166,-,1,PMID:30971496
ppGpp,yicI,b3656,-,1,PMID:30971496
ppGpp,cecR,b0796,-,1,PMID:30971496
ppGpp,argA,b2818,-,1,PMID:30971496
ppGpp,argF,b0273,-,1,PMID:30971496
ppGpp,kefB,b3350,-,1,PMID:30971496
ppGpp,otsB,b1897,-,1,PMID:30971496
ppGpp,nac,b1988,-,1,PMID:30971496
ppGpp,aidB,b4187,-,1,PMID:30971496
ppGpp,nhoA,b1463,-,1,PMID:30971496
ppGpp,ycgZ,b1164,-,1,PMID:30971496
ppGpp,narZ,b1468,-,1,PMID:30971496
ppGpp,sufA,b1684,-,1,PMID:30971496
ppGpp,ykgF,b0307,-,1,PMID:30971496
ppGpp,spy,b1743,-,1,PMID:30971496
ppGpp,csgG,b1037,-,1,PMID:30971496
ppGpp,yiiS,b3922,-,1,PMID:30971496
ppGpp,yhcO,b3239,-,1,PMID:30971496
ppGpp,yiaC,b3550,-,1,PMID:30971496
ppGpp,sufB,b1683,-,1,PMID:30971496
ppGpp,zupT,b3040,-,1,PMID:30971496
ppGpp,hsdR,b4350,-,1,PMID:30971496
ppGpp,yhiI,b3487,-,1,PMID:30971496
ppGpp,tag,b3549,-,1,PMID:30971496
ppGpp,ybaP,b0482,-,1,PMID:30971496
ppGpp,yeaH,b1784,-,1,PMID:30971496
ppGpp,nrfA,b4070,-,1,PMID:30971496
ppGpp,hcaB,b2541,-,1,PMID:30971496
ppGpp,gdhA,b1761,-,1,PMID:30971496
ppGpp,ebgR,b3075,-,1,PMID:30971496
ppGpp,nudI,b2251,-,1,PMID:30971496
ppGpp,ydcK,b1428,-,1,PMID:30971496
ppGpp,yegR,b2085,-,1,PMID:30971496
ppGpp,mhpC,b0349,-,1,PMID:30971496
ppGpp,proW,b2678,-,1,PMID:30971496
ppGpp,cysK,b2414,-,1,PMID:30971496
ppGpp,ybbC,b0498,-,1,PMID:30971496
ppGpp,argI,b4254,-,1,PMID:30971496
ppGpp,ydiZ,b1724,-,1,PMID:30971496
ppGpp,osmF,b2131,-,1,PMID:30971496
ppGpp,ybeQ,b0644,-,1,PMID:30971496
ppGpp,casB,b2759,-,1,PMID:30971496
ppGpp,ygiV,b3023,-,1,PMID:30971496
ppGpp,betI,b0313,-,1,PMID:30971496
ppGpp,ydiV,b1707,-,1,PMID:30971496
ppGpp,yhjC,b3521,-,1,PMID:30971496
ppGpp,serA,b2913,-,1,PMID:30971496
ppGpp,asnB,b0674,-,1,PMID:30971496
ppGpp,hisD,b2020,-,1,PMID:30971496
ppGpp,cysB,b1275,-,1,PMID:30971496
ppGpp,yhaJ,b3105,-,1,PMID:30971496
ppGpp,alaC,b2379,-,1,PMID:30971496
ppGpp,qseC,b3026,-,1,PMID:30971496
ppGpp,proV,b2677,-,1,PMID:30971496
ppGpp,yjcE,b4065,-,1,PMID:30971496
ppGpp,xylR,b3569,-,1,PMID:30971496
ppGpp,aphA,b4055,-,1,PMID:30971496
ppGpp,ftnB,b1902,-,1,PMID:30971496
ppGpp,yjdF,b4121,-,1,PMID:30971496
ppGpp,dgcT,b1025,-,1,PMID:30971496
ppGpp,evgS,b2370,-,1,PMID:30971496
ppGpp,yddH,b1462,-,1,PMID:30971496
ppGpp,insI-1,b0256,-,1,PMID:30971496
ppGpp,yaeI,b0164,-,1,PMID:30971496
Crp,galM,b0756,?,1,RegulonDB_TF
Crp,gadF,b4718,-,1,RegulonDB_TF
Crp,galE,b0759,?,1,RegulonDB_TF
Crp,galK,b0757,?,1,RegulonDB_TF
Crp,galT,b0758,?,1,RegulonDB_TF
Crp,glgA,b3429,+,1,RegulonDB_TF
Crp,gabP,b2663,+,1,RegulonDB_TF
Crp,gabD,b2661,+,1,RegulonDB_TF
Crp,glaH,b2659,+,1,RegulonDB_TF
Crp,glgC,b3430,+,1,RegulonDB_TF
ppGpp,csgF,b1038,-,1,PMID:30971496
ppGpp,dgoR,b4479,-,1,PMID:30971496
ppGpp,yeiL,b2163,-,1,PMID:30971496
ppGpp,murR,b2427,-,1,PMID:30971496
ppGpp,xdhC,b2868,-,1,PMID:30971496
Crp,fadD,b1805,+,1,RegulonDB_TF
Crp,fadL,b2344,+,1,RegulonDB_TF
ppGpp,ycjY,b1327,-,1,PMID:30971496
ppGpp,ssuA,b0936,-,1,PMID:30971496
Crp,gadE,b3512,-,1,RegulonDB_TF
Crp,gabT,b2662,+,1,RegulonDB_TF
Crp,glnL,b3869,?,1,RegulonDB_TF
Crp,glnG,b3868,?,1,RegulonDB_TF
Crp,glnA,b3870,?,1,RegulonDB_TF
Crp,glgP,b3428,+,1,RegulonDB_TF
Crp,gntP,b4321,+,1,RegulonDB_TF
ppGpp,gsiC,b0831,-,1,PMID:30971496
Crp,fur,b0683,+,1,RegulonDB_TF
ppGpp,yafC,b0208,-,1,PMID:30971496
ppGpp,yjjU,b4377,-,1,PMID:30971496
ppGpp,mcrA,b1159,-,1,PMID:30971496
ppGpp,yeaO,b1792,-,1,PMID:30971496
ppGpp,nikR,b3481,-,1,PMID:30971496
ppGpp,yccJ,b1003,-,1,PMID:30971496
Crp,fis,b3261,?,1,RegulonDB_TF
ppGpp,ygaM,b2672,-,1,PMID:30971496
ppGpp,fadE,b0221,-,1,PMID:30971496
ppGpp,yjiK,b4333,-,1,PMID:30971496
ppGpp,rayT,b0228,-,1,PMID:30971496
ppGpp,ymgA,b1165,-,1,PMID:30971496
ppGpp,ymgC,b1167,-,1,PMID:30971496
ppGpp,yfcF,b2301,-,1,PMID:30971496
Crp,fumA,b1612,+,1,RegulonDB_TF
Crp,fucU,b2804,+,1,RegulonDB_TF
Crp,fucR,b2805,+,1,RegulonDB_TF
Crp,glpR,b3423,+,1,RegulonDB_TF
Crp,glpG,b3424,+,1,RegulonDB_TF
Crp,glpE,b3425,+,1,RegulonDB_TF
Crp,glpD,b3426,+,1,RegulonDB_TF
Crp,fucK,b2803,+,1,RegulonDB_TF
Crp,cyaR,b4438,+,1,RegulonDB_TF
Crp,cstA,b0598,+,1,RegulonDB_TF
ppGpp,ycjN,b1310,-,1,PMID:30971496
ppGpp,yihG,b3862,+,1,PMID:30971496
ArcA,ompW,b1256,-,1,RegulonDB_TF
ppGpp,suhB,b2533,+,1,PMID:30971496
ppGpp,xanP,b3654,+,1,PMID:30971496
ppGpp,ydiY,b1722,+,1,PMID:30971496
ppGpp,rapA,b0059,+,1,PMID:30971496
ppGpp,dusB,b3260,+,1,PMID:30971496
ppGpp,rluA,b0058,+,1,PMID:30971496
ppGpp,yjeM,b4156,+,1,PMID:30971496
ppGpp,pheS,b1714,+,1,PMID:30971496
ArcA,pflB,b0903,+,1,RegulonDB_TF
ppGpp,adeP,b3714,+,1,PMID:30971496
ppGpp,purL,b2557,+,1,PMID:30971496
ArcA,hyaE,b0976,+,1,RegulonDB_TF
