,gene_id,database,kegg_id
305,b0078,KEGG_pathway,map01100
306,b0078,KEGG_pathway,map01110
307,b0078,KEGG_pathway,map01130
308,b0078,KEGG_pathway,map01210
309,b0078,KEGG_pathway,map01230
310,b0080,KEGG_pathway,-
311,b0081,KEGG_pathway,-
312,b0082,KEGG_pathway,-
313,b0083,KEGG_pathway,-
316,b0084,KEGG_pathway,map00550
317,b0084,KEGG_pathway,map01501
320,b0085,KEGG_pathway,map00300
321,b0085,KEGG_pathway,map00550
326,b0086,KEGG_pathway,map00300
327,b0086,KEGG_pathway,map00550
328,b0086,KEGG_pathway,map01100
329,b0086,KEGG_pathway,map01502
333,b0087,KEGG_pathway,map00550
334,b0087,KEGG_pathway,map01100
335,b0087,KEGG_pathway,map01502
339,b0088,KEGG_pathway,map00471
340,b0088,KEGG_pathway,map00550
341,b0088,KEGG_pathway,map01100
343,b0089,KEGG_pathway,map04112
348,b0090,KEGG_pathway,map00550
349,b0090,KEGG_pathway,map01100
350,b0090,KEGG_pathway,map01502
351,b0090,KEGG_pathway,map04112
355,b0091,KEGG_pathway,map00471
356,b0091,KEGG_pathway,map00550
357,b0091,KEGG_pathway,map01100
362,b0092,KEGG_pathway,map00473
363,b0092,KEGG_pathway,map00550
364,b0092,KEGG_pathway,map01100
365,b0092,KEGG_pathway,map01502
367,b0093,KEGG_pathway,map04112
369,b0094,KEGG_pathway,map04112
371,b0095,KEGG_pathway,map04112
374,b0096,KEGG_pathway,map00540
375,b0096,KEGG_pathway,map01100
378,b0097,KEGG_pathway,map03060
379,b0097,KEGG_pathway,map03070
383,b0098,KEGG_pathway,map02024
384,b0098,KEGG_pathway,map03060
385,b0098,KEGG_pathway,map03070
386,b0099,KEGG_pathway,-
387,b0101,KEGG_pathway,-
388,b0102,KEGG_pathway,-
391,b0103,KEGG_pathway,map00770
392,b0103,KEGG_pathway,map01100
397,b0104,KEGG_pathway,map00230
398,b0104,KEGG_pathway,map00983
399,b0104,KEGG_pathway,map01100
400,b0104,KEGG_pathway,map01110
401,b0106,KEGG_pathway,-
404,b0107,KEGG_pathway,map03070
405,b0107,KEGG_pathway,map05111
407,b0108,KEGG_pathway,map02020
410,b0109,KEGG_pathway,map00760
411,b0109,KEGG_pathway,map01100
412,b0110,KEGG_pathway,-
413,b0111,KEGG_pathway,-
414,b0112,KEGG_pathway,-
415,b0113,KEGG_pathway,-
424,b0114,KEGG_pathway,map00010
425,b0114,KEGG_pathway,map00020
