,gene_id,gene_name,gene_ontology
0,b1304,pspA,phage shock
1,b1304,pspA,response to heat
2,b1304,pspA,cytoplasmic side of plasma membrane
3,b1304,pspA,protein binding
4,b1304,pspA,protein binding
5,b1304,pspA,protein binding
6,b1304,pspA,protein binding
7,b1304,pspA,protein binding
8,b1304,pspA,protein binding
9,b1304,pspA,protein binding
10,b1304,pspA,phospholipid binding
11,b1304,pspA,identical protein binding
12,b1304,pspA,identical protein binding
13,b1304,pspA,identical protein binding
14,b1304,pspA,regulation of DNA-templated transcription
15,b1304,pspA,regulation of cellular response to stress
16,b1304,pspA,cytoplasm
17,b1304,pspA,cytoplasm
18,b1304,pspA,cytosol
19,b1304,pspA,plasma membrane
20,b1304,pspA,plasma membrane
21,b1304,pspA,cell pole
22,b1304,pspA,transcription regulator complex
23,b1304,pspA,cytosol
24,b1304,pspA,phage shock
25,b2679,proX,hyperosmotic response
26,b2679,proX,hyperosmotic response
27,b2679,proX,hyperosmotic response
28,b2679,proX,glycine betaine transport
29,b2679,proX,glycine betaine transport
30,b2679,proX,protein binding
31,b2679,proX,protein binding
32,b2679,proX,transmembrane transporter activity
33,b2679,proX,quaternary ammonium group binding
34,b2679,proX,quaternary ammonium group binding
35,b2679,proX,amino acid transport
36,b2679,proX,glycine betaine transport
37,b2679,proX,transmembrane transport
38,b2679,proX,cellular response to osmotic stress
39,b2679,proX,amino acid import across plasma membrane
40,b2679,proX,glycine import across plasma membrane
41,b2679,proX,outer membrane-bounded periplasmic space
42,b2679,proX,outer membrane-bounded periplasmic space
43,b2679,proX,periplasmic space
44,b2679,proX,periplasmic space
45,b2679,proX,membrane
46,b2679,proX,ATP-binding cassette (ABC) transporter complex
47,b2679,proX,ProVWX complex
48,b0397,sbcC,DNA replication
49,b0397,sbcC,DNA replication termination
50,b0397,sbcC,DNA repair
51,b0397,sbcC,single-stranded DNA endodeoxyribonuclease activity
52,b0397,sbcC,endonuclease activity
53,b0397,sbcC,exonuclease activity
54,b0397,sbcC,DNA exonuclease activity
55,b0397,sbcC,protein binding
56,b0397,sbcC,protein binding
57,b0397,sbcC,ATP binding
58,b0397,sbcC,3'-5'-DNA exonuclease activity
59,b0397,sbcC,ATP hydrolysis activity
60,b0397,sbcC,double-stranded DNA endonuclease activity
61,b0397,sbcC,DNA replication
62,b0397,sbcC,DNA repair
63,b0397,sbcC,double-strand break repair
64,b0397,sbcC,DNA recombination
65,b0397,sbcC,DNA recombination
66,b0397,sbcC,DNA repair complex
67,b0060,polB,DNA-templated DNA replication
68,b0060,polB,SOS response
69,b0060,polB,DNA replication proofreading
70,b0060,polB,nucleotide binding
71,b0060,polB,DNA binding
72,b0060,polB,DNA binding
73,b0060,polB,DNA-directed DNA polymerase activity
74,b0060,polB,DNA-directed DNA polymerase activity
75,b0060,polB,DNA-directed DNA polymerase activity
76,b0060,polB,DNA-directed DNA polymerase activity
77,b0060,polB,3'-5'-DNA exonuclease activity
78,b0060,polB,DNA polymerase activity
79,b0060,polB,DNA repair
80,b0060,polB,SOS response
81,b0060,polB,DNA biosynthetic process
82,b0060,polB,DNA biosynthetic process
83,b0060,polB,DNA-directed DNA polymerase activity
84,b0060,polB,SOS response
85,b0060,polB,3'-5'-DNA exonuclease activity
86,b0060,polB,DNA replication proofreading
87,b0683,fur,transcription cis-regulatory region binding
88,b0683,fur,transcription cis-regulatory region binding
89,b0683,fur,transcription cis-regulatory region binding
90,b0683,fur,transcription cis-regulatory region binding
91,b0683,fur,DNA-binding transcription activator activity
92,b0683,fur,DNA-binding transcription repressor activity
93,b0683,fur,DNA-binding transcription repressor activity
94,b0683,fur,DNA-binding transcription repressor activity
95,b0683,fur,DNA binding
96,b0683,fur,DNA-binding transcription factor activity
97,b0683,fur,zinc ion binding
98,b0683,fur,sequence-specific DNA binding
99,b0683,fur,metal ion binding
100,b0683,fur,regulation of DNA-templated transcription
101,b0683,fur,regulation of DNA-templated transcription
102,b0683,fur,negative regulation of DNA-templated transcription
103,b0683,fur,positive regulation of DNA-templated transcription
104,b0683,fur,positive regulation of DNA-templated transcription
105,b0683,fur,cytoplasm
106,b0683,fur,cytoplasm
107,b0683,fur,cytosol
108,b0683,fur,cytosol
109,b0683,fur,protein-DNA complex
110,b0683,fur,protein-DNA complex
111,b0683,fur,protein-DNA complex
112,b0683,fur,protein-DNA complex
113,b0683,fur,protein-DNA complex
114,b0683,fur,negative regulation of siderophore biosynthetic process
115,b0683,fur,negative regulation of DNA-templated transcription
116,b0683,fur,cytosol
117,b0683,fur,zinc ion binding
118,b0683,fur,DNA-binding transcription factor activity
119,b0683,fur,transcription cis-regulatory region binding
120,b0095,ftsZ,protein polymerization
121,b0095,ftsZ,protein polymerization
122,b0095,ftsZ,cell division
123,b0095,ftsZ,GTPase activity
124,b0095,ftsZ,GTPase activity
125,b0095,ftsZ,GTPase activity
126,b0095,ftsZ,GTPase activity
127,b0095,ftsZ,protein binding
128,b0095,ftsZ,protein binding
129,b0095,ftsZ,protein binding
130,b0095,ftsZ,protein binding
131,b0095,ftsZ,protein binding
132,b0095,ftsZ,protein binding
133,b0095,ftsZ,protein binding
134,b0095,ftsZ,protein binding
135,b0095,ftsZ,protein binding
136,b0095,ftsZ,protein binding
137,b0095,ftsZ,protein binding
138,b0095,ftsZ,protein binding
139,b0095,ftsZ,protein binding
140,b0095,ftsZ,protein binding
141,b0095,ftsZ,protein binding
142,b0095,ftsZ,protein binding
143,b0095,ftsZ,protein binding
144,b0095,ftsZ,protein binding
145,b0095,ftsZ,protein binding
146,b0095,ftsZ,protein binding
147,b0095,ftsZ,protein binding
148,b0095,ftsZ,protein binding
149,b0095,ftsZ,protein binding
150,b0095,ftsZ,protein binding
151,b0095,ftsZ,protein binding
152,b0095,ftsZ,protein binding
153,b0095,ftsZ,protein binding
154,b0095,ftsZ,protein binding
155,b0095,ftsZ,GTP binding
156,b0095,ftsZ,GTP binding
157,b0095,ftsZ,GTP binding
158,b0095,ftsZ,GTP binding
159,b0095,ftsZ,GTP binding
160,b0095,ftsZ,identical protein binding
161,b0095,ftsZ,identical protein binding
162,b0095,ftsZ,identical protein binding
163,b0095,ftsZ,identical protein binding
164,b0095,ftsZ,identical protein binding
165,b0095,ftsZ,identical protein binding
166,b0095,ftsZ,identical protein binding
167,b0095,ftsZ,identical protein binding
168,b0095,ftsZ,identical protein binding
169,b0095,ftsZ,division septum assembly
170,b0095,ftsZ,division septum assembly
171,b0095,ftsZ,FtsZ-dependent cytokinesis
172,b0095,ftsZ,FtsZ-dependent cytokinesis
173,b0095,ftsZ,protein polymerization
174,b0095,ftsZ,cell division
175,b0095,ftsZ,cell division
176,b0095,ftsZ,cell division
177,b0095,ftsZ,cell septum assembly
178,b0095,ftsZ,cytoplasm
179,b0095,ftsZ,cytoplasm
180,b0095,ftsZ,cytoplasm
181,b0095,ftsZ,cytoplasm
182,b0095,ftsZ,cell division site
183,b0095,ftsZ,cell division site
184,b0095,ftsZ,plasma membrane
185,b0095,ftsZ,cell division site
186,b0095,ftsZ,divisome complex
187,b0095,ftsZ,cell division
188,b0095,ftsZ,cytoplasm
189,b0095,ftsZ,GTP binding
190,b0095,ftsZ,cell division site
191,b0095,ftsZ,GTPase activity
192,b1902,ftnB,ferric iron binding
193,b1902,ftnB,cytoplasm
194,b1902,ftnB,cytoplasm
195,b1902,ftnB,cytosol
196,b1902,ftnB,ferrous iron binding
197,b1902,ftnB,cytoplasm
198,b1902,ftnB,cytosol
199,b1902,ftnB,ferric iron binding
200,b1902,ftnB,ferroxidase activity
201,b0044,fixX,iron ion binding
202,b0044,fixX,protein binding
203,b0044,fixX,protein binding
204,b0044,fixX,protein binding
205,b0044,fixX,metal ion binding
206,b0044,fixX,"4 iron, 4 sulfur cluster binding"
207,b0043,fixC,carnitine metabolic process
208,b0043,fixC,oxidoreductase activity
209,b0043,fixC,FAD binding
210,b0684,fldA,nucleotide binding
211,b0684,fldA,protein binding
212,b0684,fldA,protein binding
213,b0684,fldA,electron transfer activity
214,b0684,fldA,FMN binding
215,b0684,fldA,cytoplasm
216,b0684,fldA,cytosol
217,b0684,fldA,cytosol
218,b2028,ugd,colanic acid biosynthetic process
219,b2028,ugd,UDP-glucose 6-dehydrogenase activity
220,b2028,ugd,UDP-glucose 6-dehydrogenase activity
221,b2028,ugd,UDP-glucose 6-dehydrogenase activity
222,b2028,ugd,UDP-glucose 6-dehydrogenase activity
223,b2028,ugd,UDP-glucose 6-dehydrogenase activity
224,b2028,ugd,protein binding
225,b2028,ugd,oxidoreductase activity
226,b2028,ugd,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
227,b2028,ugd,NAD binding
228,b2028,ugd,NAD binding
229,b2028,ugd,polysaccharide biosynthetic process
230,b2028,ugd,UDP-glucuronate biosynthetic process
231,b2028,ugd,lipopolysaccharide biosynthetic process
232,b2027,wzzB,lipopolysaccharide biosynthetic process
233,b2027,wzzB,lipopolysaccharide biosynthetic process
234,b2027,wzzB,plasma membrane
235,b2027,wzzB,plasma membrane
236,b2027,wzzB,membrane
237,b2027,wzzB,plasma membrane
238,b2027,wzzB,protein tyrosine kinase activity
239,b0950,pqiA,response to stress
240,b0950,pqiA,membrane organization
241,b0950,pqiA,membrane organization
242,b0950,pqiA,plasma membrane
243,b0950,pqiA,plasma membrane
244,b0950,pqiA,plasma membrane
245,b0950,pqiA,plasma membrane
246,b0950,pqiA,membrane
247,b0950,pqiA,plasma membrane
248,b0950,pqiA,membrane organization
249,b2502,ppx,polyphosphate catabolic process
250,b2502,ppx,exopolyphosphatase activity
251,b2502,ppx,exopolyphosphatase activity
252,b2502,ppx,exopolyphosphatase activity
253,b2502,ppx,exopolyphosphatase activity
254,b2502,ppx,hydrolase activity
255,b2502,ppx,identical protein binding
256,b2502,ppx,identical protein binding
257,b2502,ppx,protein homodimerization activity
258,b2502,ppx,guanosine tetraphosphate binding
259,b2502,ppx,phosphorus metabolic process
260,b2502,ppx,plasma membrane
261,b2502,ppx,plasma membrane
262,b2502,ppx,exopolyphosphatase activity
263,b2502,ppx,polyphosphate catabolic process
264,b3363,ppiA,peptidyl-prolyl cis-trans isomerase activity
265,b3363,ppiA,peptidyl-prolyl cis-trans isomerase activity
266,b3363,ppiA,peptidyl-prolyl cis-trans isomerase activity
267,b3363,ppiA,peptidyl-prolyl cis-trans isomerase activity
268,b3363,ppiA,RNA polymerase II CTD heptapeptide repeat P3 isomerase activity
269,b3363,ppiA,RNA polymerase II CTD heptapeptide repeat P6 isomerase activity
270,b3363,ppiA,regulation of transcription by RNA polymerase II
271,b3363,ppiA,protein folding
272,b3363,ppiA,outer membrane-bounded periplasmic space
273,b3363,ppiA,outer membrane-bounded periplasmic space
274,b3363,ppiA,periplasmic space
275,b3363,ppiA,periplasmic space
276,b3363,ppiA,periplasmic space
277,b4348,hsdS,DNA binding
278,b4348,hsdS,DNA binding
279,b4348,hsdS,DNA restriction-modification system
280,b4348,hsdS,DNA restriction-modification system
281,b4348,hsdS,type I site-specific deoxyribonuclease complex
282,b0857,potI,putrescine transport
283,b0857,potI,putrescine transport
284,b0857,potI,transmembrane transport
285,b0857,potI,plasma membrane
286,b0857,potI,plasma membrane
287,b0857,potI,plasma membrane
288,b0857,potI,plasma membrane
289,b0857,potI,membrane
290,b0857,potI,membrane
291,b0857,potI,ATP-binding cassette (ABC) transporter complex
292,b0857,potI,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
293,b4568,ytjA,plasma membrane
294,b4568,ytjA,plasma membrane
295,b4568,ytjA,plasma membrane
296,b4568,ytjA,plasma membrane
297,b1732,katE,hyperosmotic response
298,b1732,katE,DNA damage response
299,b1732,katE,response to oxidative stress
300,b1732,katE,hydrogen peroxide catabolic process
301,b1732,katE,catalase activity
302,b1732,katE,catalase activity
303,b1732,katE,catalase activity
304,b1732,katE,catalase activity
305,b1732,katE,catalase activity
306,b1732,katE,catalase activity
307,b1732,katE,catalase activity
308,b1732,katE,peroxidase activity
309,b1732,katE,iron ion binding
310,b1732,katE,heme binding
311,b1732,katE,heme binding
312,b1732,katE,identical protein binding
313,b1732,katE,identical protein binding
314,b1732,katE,identical protein binding
315,b1732,katE,metal ion binding
316,b1732,katE,response to oxidative stress
317,b1732,katE,hydrogen peroxide catabolic process
318,b1732,katE,cellular oxidant detoxification
319,b1732,katE,cellular oxidant detoxification
320,b1732,katE,cytoplasm
321,b1732,katE,cytoplasm
322,b1732,katE,cytoplasm
323,b1732,katE,cytosol
324,b1732,katE,heme binding
325,b1732,katE,catalase activity
326,b1732,katE,hydrogen peroxide catabolic process
327,b1732,katE,cytosol
328,b1732,katE,response to oxidative stress
329,b3846,fadB,fatty acid beta-oxidation
330,b3846,fadB,3-hydroxyacyl-CoA dehydrogenase activity
331,b3846,fadB,3-hydroxyacyl-CoA dehydrogenase activity
332,b3846,fadB,3-hydroxyacyl-CoA dehydrogenase activity
333,b3846,fadB,3-hydroxyacyl-CoA dehydrogenase activity
334,b3846,fadB,3-hydroxyacyl-CoA dehydrogenase activity
335,b3846,fadB,3-hydroxyacyl-CoA dehydrogenase activity
336,b3846,fadB,3-hydroxyacyl-CoA dehydrogenase activity
337,b3846,fadB,3-hydroxyacyl-CoA dehydrogenase activity
338,b3846,fadB,delta(3)-delta(2)-enoyl-CoA isomerase activity
339,b3846,fadB,delta(3)-delta(2)-enoyl-CoA isomerase activity
340,b3846,fadB,delta(3)-delta(2)-enoyl-CoA isomerase activity
341,b3846,fadB,delta(3)-delta(2)-enoyl-CoA isomerase activity
342,b3846,fadB,delta(3)-delta(2)-enoyl-CoA isomerase activity
343,b3846,fadB,delta(3)-delta(2)-enoyl-CoA isomerase activity
344,b3846,fadB,enoyl-CoA hydratase activity
345,b3846,fadB,enoyl-CoA hydratase activity
346,b3846,fadB,enoyl-CoA hydratase activity
347,b3846,fadB,enoyl-CoA hydratase activity
348,b3846,fadB,enoyl-CoA hydratase activity
349,b3846,fadB,enoyl-CoA hydratase activity
350,b3846,fadB,3-hydroxybutyryl-CoA epimerase activity
351,b3846,fadB,3-hydroxybutyryl-CoA epimerase activity
352,b3846,fadB,3-hydroxybutyryl-CoA epimerase activity
353,b3846,fadB,3-hydroxybutyryl-CoA epimerase activity
354,b3846,fadB,3-hydroxybutyryl-CoA epimerase activity
355,b3846,fadB,3-hydroxybutyryl-CoA epimerase activity
356,b3846,fadB,oxidoreductase activity
357,b3846,fadB,lyase activity
358,b3846,fadB,isomerase activity
359,b3846,fadB,NAD+ binding
360,b3846,fadB,fatty acid metabolic process
361,b3846,fadB,fatty acid beta-oxidation
362,b3846,fadB,fatty acid beta-oxidation
363,b3846,fadB,fatty acid beta-oxidation
364,b3846,fadB,fatty acid beta-oxidation
365,b3846,fadB,fatty acid catabolic process
366,b3846,fadB,lipid catabolic process
367,b3846,fadB,fatty acid beta-oxidation multienzyme complex
368,b3846,fadB,fatty acid beta-oxidation multienzyme complex
369,b3846,fadB,fatty acid beta-oxidation multienzyme complex
370,b3846,fadB,fatty acid beta-oxidation
371,b3846,fadB,long-chain-3-hydroxyacyl-CoA dehydrogenase activity
372,b3846,fadB,enoyl-CoA hydratase activity
373,b2938,speA,arginine catabolic process
374,b2938,speA,putrescine biosynthetic process
375,b2938,speA,putrescine biosynthetic process from arginine
376,b2938,speA,putrescine biosynthetic process from arginine
377,b2938,speA,protein homotetramerization
378,b2938,speA,magnesium ion binding
379,b2938,speA,protein binding
380,b2938,speA,arginine decarboxylase activity
381,b2938,speA,arginine decarboxylase activity
382,b2938,speA,arginine decarboxylase activity
383,b2938,speA,arginine decarboxylase activity
384,b2938,speA,arginine decarboxylase activity
385,b2938,speA,arginine decarboxylase activity
386,b2938,speA,carboxy-lyase activity
387,b2938,speA,pyridoxal phosphate binding
388,b2938,speA,identical protein binding
389,b2938,speA,metal ion binding
390,b2938,speA,arginine catabolic process
391,b2938,speA,spermidine biosynthetic process
392,b2938,speA,spermidine biosynthetic process
393,b2938,speA,spermidine biosynthetic process
394,b2938,speA,putrescine biosynthetic process
395,b2938,speA,putrescine biosynthetic process
396,b2938,speA,periplasmic space
397,b2938,speA,periplasmic space
398,b2938,speA,putrescine biosynthetic process from arginine
399,b2938,speA,arginine decarboxylase activity
400,b2015,yeeY,DNA binding
401,b2015,yeeY,DNA-binding transcription factor activity
402,b2015,yeeY,regulation of DNA-templated transcription
403,b2015,yeeY,regulation of DNA-templated transcription
404,b2015,yeeY,transcription cis-regulatory region binding
405,b2004,cbeA,negative regulation of cell killing
406,b2004,cbeA,positive regulation of cytoskeleton organization
407,b2004,cbeA,protein binding
408,b2004,cbeA,protein binding
409,b2004,cbeA,protein binding
410,b2004,cbeA,protein binding
411,b2004,cbeA,cytoskeletal protein binding
412,b2004,cbeA,metal ion binding
413,b2004,cbeA,positive regulation of cytoskeleton organization
414,b2004,cbeA,cytoplasm
415,b2004,cbeA,cytoplasm
416,b3630,waaP,lipopolysaccharide core region biosynthetic process
417,b3630,waaP,carbohydrate phosphorylation
418,b3630,waaP,ATP binding
419,b3630,waaP,kinase activity
420,b3630,waaP,kinase activity
421,b3630,waaP,kinase activity
422,b3630,waaP,lipopolysaccharide biosynthetic process
423,b3630,waaP,lipopolysaccharide biosynthetic process
424,b3630,waaP,lipopolysaccharide core region biosynthetic process
425,b2002,yeeS,metallopeptidase activity
426,b2002,yeeS,metal ion binding
427,b2002,yeeS,proteolysis
428,b1123,potD,putrescine transport
429,b1123,potD,spermidine transport
430,b1123,potD,spermidine transport
431,b1123,potD,spermidine transport
432,b1123,potD,polyamine binding
433,b1123,potD,spermidine binding
434,b1123,potD,spermidine binding
435,b1123,potD,spermidine binding
436,b1123,potD,putrescine binding
437,b1123,potD,putrescine binding
438,b1123,potD,polyamine transport
439,b1123,potD,putrescine transport
440,b1123,potD,spermidine transmembrane transport
441,b1123,potD,outer membrane-bounded periplasmic space
442,b1123,potD,outer membrane-bounded periplasmic space
443,b1123,potD,outer membrane-bounded periplasmic space
444,b1123,potD,outer membrane-bounded periplasmic space
445,b1123,potD,periplasmic space
446,b1123,potD,periplasmic space
447,b1123,potD,periplasmic space
448,b1123,potD,membrane
449,b1124,potC,putrescine transport
450,b1124,potC,spermidine transmembrane transport
451,b1124,potC,spermidine transmembrane transport
452,b1124,potC,ABC-type polyamine transporter activity
453,b1124,potC,putrescine transport
454,b1124,potC,transmembrane transport
455,b1124,potC,spermidine transmembrane transport
456,b1124,potC,plasma membrane
457,b1124,potC,plasma membrane
458,b1124,potC,plasma membrane
459,b1124,potC,plasma membrane
460,b1124,potC,plasma membrane
461,b1124,potC,membrane
462,b1124,potC,membrane
463,b1124,potC,ATP-binding cassette (ABC) transporter complex
464,b1125,potB,putrescine transport
465,b1125,potB,spermidine transmembrane transport
466,b1125,potB,spermidine transmembrane transport
467,b1125,potB,ABC-type polyamine transporter activity
468,b1125,potB,putrescine transport
469,b1125,potB,transmembrane transport
470,b1125,potB,spermidine transmembrane transport
471,b1125,potB,plasma membrane
472,b1125,potB,plasma membrane
473,b1125,potB,plasma membrane
474,b1125,potB,plasma membrane
475,b1125,potB,membrane
476,b1125,potB,membrane
477,b1125,potB,ATP-binding cassette (ABC) transporter complex
478,b0751,pnuC,nicotinamide riboside transport
479,b0751,pnuC,nicotinamide riboside transmembrane transporter activity
480,b0751,pnuC,nicotinamide riboside transmembrane transporter activity
481,b0751,pnuC,nicotinamide riboside transport
482,b0751,pnuC,plasma membrane
483,b0751,pnuC,plasma membrane
484,b0751,pnuC,plasma membrane
485,b0751,pnuC,plasma membrane
486,b0751,pnuC,plasma membrane
487,b0751,pnuC,membrane
488,b2705,srlD,sorbitol catabolic process
489,b2705,srlD,protein homotetramerization
490,b2705,srlD,sorbitol-6-phosphate 2-dehydrogenase activity
491,b2705,srlD,sorbitol-6-phosphate 2-dehydrogenase activity
492,b2705,srlD,sorbitol-6-phosphate 2-dehydrogenase activity
493,b2705,srlD,oxidoreductase activity
494,b2705,srlD,oxidoreductase activity
495,b2705,srlD,identical protein binding
496,b2705,srlD,sorbitol catabolic process
497,b2705,srlD,protein-containing complex
498,b2705,srlD,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
499,b2704,srlB,phosphoenolpyruvate-dependent sugar phosphotransferase system
500,b2704,srlB,protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
501,b2704,srlB,kinase activity
502,b2704,srlB,kinase activity
503,b2704,srlB,"phosphotransferase activity, alcohol group as acceptor"
504,b2704,srlB,phosphoenolpyruvate-dependent sugar phosphotransferase system
505,b2704,srlB,phosphoenolpyruvate-dependent sugar phosphotransferase system
506,b2704,srlB,phosphoenolpyruvate-dependent sugar phosphotransferase system
507,b2704,srlB,phosphoenolpyruvate-dependent sugar phosphotransferase system
508,b2704,srlB,sorbitol transmembrane transport
509,b2704,srlB,cytoplasm
510,b2704,srlB,cytoplasm
511,b2704,srlB,cytoplasm
512,b2704,srlB,cytoplasm
513,b2704,srlB,transmembrane transporter complex
514,b2704,srlB,kinase activity
515,b2704,srlB,phosphoenolpyruvate-dependent sugar phosphotransferase system
516,b2965,speC,spermidine biosynthetic process
517,b2965,speC,spermidine biosynthetic process
518,b2965,speC,ornithine decarboxylase activity
519,b2965,speC,ornithine decarboxylase activity
520,b2965,speC,ornithine decarboxylase activity
521,b2965,speC,carboxy-lyase activity
522,b2965,speC,carboxy-lyase activity
523,b2965,speC,carboxy-lyase activity
524,b2965,speC,pyridoxal phosphate binding
525,b2965,speC,guanosine tetraphosphate binding
526,b2965,speC,amino acid metabolic process
527,b2965,speC,spermidine biosynthetic process
528,b2965,speC,putrescine biosynthetic process from ornithine
529,b2965,speC,cytoplasm
530,b2965,speC,cytosol
531,b2965,speC,ornithine decarboxylase activity
532,b2965,speC,cytosol
533,b2965,speC,pyridoxal phosphate binding
534,b1421,trg,chemotaxis
535,b1421,trg,signal transduction
536,b1421,trg,signal transduction
537,b1421,trg,transmembrane signaling receptor activity
538,b1421,trg,transmembrane signaling receptor activity
539,b1421,trg,transmembrane signaling receptor activity
540,b1421,trg,protein binding
541,b1421,trg,protein homodimerization activity
542,b1421,trg,chemotaxis
543,b1421,trg,chemotaxis
544,b1421,trg,chemotaxis
545,b1421,trg,signal transduction
546,b1421,trg,signal transduction
547,b1421,trg,plasma membrane
548,b1421,trg,plasma membrane
549,b1421,trg,plasma membrane
550,b1421,trg,plasma membrane
551,b1421,trg,plasma membrane
552,b1421,trg,plasma membrane
553,b1421,trg,plasma membrane
554,b1421,trg,membrane
555,b1421,trg,methyl accepting chemotaxis protein complex
556,b1421,trg,chemotaxis
557,b1421,trg,transmembrane signaling receptor activity
558,b1421,trg,plasma membrane
559,b1769,ydjE,transmembrane transporter activity
560,b1769,ydjE,transmembrane transport
561,b1769,ydjE,plasma membrane
562,b1769,ydjE,plasma membrane
563,b1769,ydjE,plasma membrane
564,b0575,cusA,intracellular copper ion homeostasis
565,b0575,cusA,response to silver ion
566,b0575,cusA,response to silver ion
567,b0575,cusA,response to silver ion
568,b0575,cusA,response to silver ion
569,b0575,cusA,response to silver ion
570,b0575,cusA,detoxification of copper ion
571,b0575,cusA,detoxification of copper ion
572,b0575,cusA,silver ion transport
573,b0575,cusA,plasma membrane copper ion transport
574,b0575,cusA,plasma membrane copper ion transport
575,b0575,cusA,response to copper ion
576,b0575,cusA,response to copper ion
577,b0575,cusA,response to copper ion
578,b0575,cusA,copper ion export
579,b0575,cusA,copper ion export
580,b0575,cusA,copper ion transmembrane transporter activity
581,b0575,cusA,copper ion transmembrane transporter activity
582,b0575,cusA,copper ion binding
583,b0575,cusA,protein binding
584,b0575,cusA,protein binding
585,b0575,cusA,monoatomic cation transmembrane transporter activity
586,b0575,cusA,silver ion transmembrane transporter activity
587,b0575,cusA,monoatomic cation transport
588,b0575,cusA,copper ion transport
589,b0575,cusA,response to toxic substance
590,b0575,cusA,copper ion transmembrane transport
591,b0575,cusA,xenobiotic transport
592,b0575,cusA,transmembrane transport
593,b0575,cusA,transmembrane transport
594,b0575,cusA,copper ion export
595,b0575,cusA,silver ion transmembrane transport
596,b0575,cusA,plasma membrane
597,b0575,cusA,plasma membrane
598,b0575,cusA,plasma membrane
599,b0575,cusA,membrane
600,b0575,cusA,membrane
601,b0575,cusA,xenobiotic transmembrane transporter activity
602,b0575,cusA,plasma membrane
603,b3847,pepQ,peptide catabolic process
604,b3847,pepQ,protein binding
605,b3847,pepQ,metalloexopeptidase activity
606,b3847,pepQ,metallopeptidase activity
607,b3847,pepQ,phosphoric triester hydrolase activity
608,b3847,pepQ,dipeptidase activity
609,b3847,pepQ,dipeptidase activity
610,b3847,pepQ,dipeptidase activity
611,b3847,pepQ,dipeptidase activity
612,b3847,pepQ,manganese ion binding
613,b3847,pepQ,protein homodimerization activity
614,b3847,pepQ,metal ion binding
615,b3847,pepQ,metallodipeptidase activity
616,b3847,pepQ,proline dipeptidase activity
617,b3847,pepQ,proline dipeptidase activity
618,b3847,pepQ,proteolysis
619,b3847,pepQ,cytosol
620,b3847,pepQ,cytosol
621,b3847,pepQ,cytosol
622,b3847,pepQ,proteolysis
623,b3847,pepQ,aminopeptidase activity
624,b0534,sfmF,cell adhesion
625,b0534,sfmF,cell adhesion
626,b0534,sfmF,pilus
627,b0534,sfmF,pilus
628,b0534,sfmF,pilus
629,b0534,sfmF,pilus
630,b0534,sfmF,cell adhesion involved in single-species biofilm formation
631,b2265,menF,menaquinone biosynthetic process
632,b2265,menF,magnesium ion binding
633,b2265,menF,magnesium ion binding
634,b2265,menF,isochorismate synthase activity
635,b2265,menF,isochorismate synthase activity
636,b2265,menF,isochorismate synthase activity
637,b2265,menF,isochorismate synthase activity
638,b2265,menF,isochorismate synthase activity
639,b2265,menF,isochorismate synthase activity
640,b2265,menF,isomerase activity
641,b2265,menF,metal ion binding
642,b2265,menF,biosynthetic process
643,b2265,menF,menaquinone biosynthetic process
644,b2265,menF,menaquinone biosynthetic process
645,b2265,menF,menaquinone biosynthetic process
646,b2265,menF,menaquinone biosynthetic process
647,b2265,menF,menaquinone biosynthetic process
648,b2265,menF,isochorismate synthase activity
649,b0932,pepN,proteolysis
650,b0932,pepN,aminopeptidase activity
651,b0932,pepN,aminopeptidase activity
652,b0932,pepN,protein binding
653,b0932,pepN,protein binding
654,b0932,pepN,metallopeptidase activity
655,b0932,pepN,metallopeptidase activity
656,b0932,pepN,zinc ion binding
657,b0932,pepN,identical protein binding
658,b0932,pepN,metal ion binding
659,b0932,pepN,proteolysis
660,b0932,pepN,proteolysis
661,b0932,pepN,plasma membrane
662,b0932,pepN,plasma membrane
667,b1985,yeeO,FAD transmembrane transport
668,b1985,yeeO,dipeptide transmembrane transport
669,b1985,yeeO,FAD transmembrane transporter activity
670,b1985,yeeO,antiporter activity
671,b1985,yeeO,xenobiotic transmembrane transporter activity
672,b1985,yeeO,FMN transmembrane transporter activity
673,b1985,yeeO,dipeptide transmembrane transporter activity
674,b1985,yeeO,protein transport
675,b1985,yeeO,peptide transport
676,b1985,yeeO,xenobiotic transport
677,b1985,yeeO,transmembrane transport
678,b1985,yeeO,carbohydrate derivative transport
679,b1985,yeeO,plasma membrane
680,b1985,yeeO,plasma membrane
681,b1985,yeeO,plasma membrane
682,b1985,yeeO,membrane
683,b1985,yeeO,membrane
684,b1985,yeeO,plasma membrane
685,b1981,shiA,shikimate transmembrane transport
686,b1981,shiA,symporter activity
687,b1981,shiA,shikimate transmembrane transporter activity
688,b1981,shiA,transmembrane transporter activity
689,b1981,shiA,transmembrane transport
690,b1981,shiA,plasma membrane
691,b1981,shiA,plasma membrane
692,b1981,shiA,plasma membrane
693,b1981,shiA,plasma membrane
694,b1981,shiA,membrane
695,b3493,pitA,magnesium ion homeostasis
696,b3493,pitA,tellurite transport
